"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2013-10-01 - Capitals 4, Blackhawks 6","Chicago Blackhawks","Limited ReportFull Report","45.65","55.95","43.15","56.46","39.97","26.99","59.69","33.38","20.46","62.00","4.93","1.33","78.78","1.88","1.4","57.32","25.74","19.69","56.65","10.25","2.64","79.55","9.04","2.61","77.62","2.44","0","100.00","27.04","100.00","15.64","16.76","48.28","6.52","6.59","49.74","1.25","1.39","47.26","19.10","78.90","22.99","22.7","50.32","15.21","11.16","57.70","1.24","0","100.00","8.17","100.00","14.78","93.50","1.083","22158"
"2013-10-01 - Jets 5, Oilers 4","Edmonton Oilers","Limited ReportFull Report","44.116666666667","64.41","51.89","55.38","40.18","41.59","49.14","30.79","28.24","52.16","2.57","5.63","31.32","1.93","3.61","34.79","28.83","33.01","46.62","7.8","18.24","29.95","3.95","12.47","24.03","1.28","1.44","47.08","32.46","88.46","21.2","14.63","59.17","11.94","12.27","49.32","1.29","4.26","23.23","10.80","65.27","29.77","15.81","65.32","15.01","4.14","78.39","0","0","-","0.00","100.00","8.34","80.07","0.884","16839"
"2013-10-01 - Maple Leafs 4, Canadiens 3","Montreal Canadiens","Limited ReportFull Report","39.166666666667","82.1","62.17","56.91","64.62","41.42","60.94","42.87","30.18","58.69","2.9","3.2","47.58","3.5","2.25","60.82","31.84","25.72","55.32","19.12","6.61","74.31","14.67","5.05","74.38","2.87","1.66","63.35","19.53","67.20","12.42","19.01","39.52","5.68","12.55","31.14","0","1.62","0.00","0.00","87.09","43.19","25.51","62.86","22.6","12.7","64.02","0","0","-","0.00","100.00","6.77","89.40","0.962","21273"
"2013-10-02 - Ducks 1, Avalanche 6","Colorado Avalanche","Limited ReportFull Report","47.85","53.34","58.18","47.83","42.11","45.97","47.81","28.61","35.31","44.75","3.68","1.26","74.51","1.8","2.03","46.95","20.83","24.63","45.82","6.39","9.99","39.02","6.48","8.66","42.79","2.45","1.28","65.67","37.86","85.19","14.78","14.48","50.51","3.83","4.79","44.45","1.19","0","100.00","31.00","100.00","23.87","27.12","46.82","15.79","18.94","45.47","0","0","-","0.00","100.00","12.87","96.43","1.093","18007"
"2013-10-02 - Maple Leafs 3, Flyers 1","Philadelphia Flyers","Limited ReportFull Report","43.716666666667","58.4","46.05","55.91","38.25","36.28","51.32","22.5","29.2","43.51","0","2.84","0.00","1.96","1.61","54.82","26.32","20.01","56.80","10.05","7.05","58.76","7.63","6.97","52.23","0","2.84","0.00","0.00","59.29","16.34","12.96","55.77","5.4","4.26","55.92","0","0","-","0.00","100.00","27.8","19.17","59.19","9.23","13.42","40.77","0","0","-","0.00","100.00","0.00","90.28","0.903","19872"
"2013-10-02 - Sabres 1, Red Wings 2","Detroit Red Wings","Limited ReportFull Report","41.233333333333","66.23","26.9","71.11","54.66","19.14","74.07","40.95","15.09","73.08","2.81","1.48","65.57","1.97","0.89","68.92","27.96","12.67","68.81","7.12","4.34","62.13","5.83","4.28","57.67","1.37","1.51","47.62","23.50","64.78","21.36","8.07","72.57","14.72","4.25","77.58","1.37","0","100.00","9.31","100.00","34.2","9.55","78.17","18.89","5.26","78.21","0","0","-","0.00","100.00","6.87","90.22","0.971","20066"
"2013-10-03 - Canucks 1, Sharks 4","San Jose Sharks","Limited ReportFull Report","38.5","67.61","72.83","48.14","47.8","55.16","46.43","32.95","27.2","54.78","5.99","0","100.00","3.47","2.48","58.26","27.93","26.77","51.06","16.09","13.33","54.69","11.71","6.66","63.76","1.5","0","100.00","12.83","100.00","11.56","13.68","45.80","4.45","6.55","40.46","1.47","0","100.00","33.00","100.00","33.96","36.54","48.17","16.64","13.72","54.81","2.86","0","100.00","17.19","100.00","18.17","100.00","1.182","17562"
"2013-10-03 - Devils 0, Penguins 3","Pittsburgh Penguins","Limited ReportFull Report","55.416666666667","39.8","54.21","42.34","28.98","34.56","45.61","23.53","26.5","47.03","3.16","0","100.00","1.51","2.15","41.20","23.12","31.7","42.18","4.28","10.66","28.65","3.23","7.33","30.57","2.09","0","100.00","64.80","100.00","19.38","20.55","48.53","12.04","11.65","50.83","1.06","0","100.00","8.79","100.00","13.51","18.84","41.77","8.07","6.87","54.05","0","0","-","0.00","100.00","13.43","100.00","1.134","18621"
"2013-10-03 - Flames 4, Capitals 5","Washington Capitals","Limited ReportFull Report","46.483333333333","62.1","61.13","50.39","45.78","46.34","49.69","32.38","37.72","46.19","2.41","2.72","47.02","2.36","3.61","39.53","38.9","36.78","51.40","7.88","20.06","28.20","6.74","14.2","32.19","1.17","1.38","45.88","17.38","90.27","30.53","17.05","64.17","14.23","6.9","67.35","1.33","1.36","49.42","9.32","80.32","22.63","22.75","49.87","11.4","15.37","42.58","0","0","-","0.00","100.00","7.45","92.80","1.002","18506"
"2013-10-03 - Kings 3, Wild 2","Minnesota Wild","Limited ReportFull Report","45.05","40.53","44.99","47.39","28.32","23.4","54.75","25.69","14.31","64.23","1.26","1.35","48.26","1.51","0.92","62.08","19.5","15.91","55.08","7.72","5.34","59.10","6.47","5.28","55.05","1.25","1.35","48.24","19.39","74.52","11.88","10.4","53.32","5.24","2.67","66.25","0","0","-","0.00","100.00","18.09","20.28","47.14","14.22","6.39","69.00","0","0","-","0.00","100.00","4.89","90.58","0.955","18511"
