"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-12 - Jets 4, Canucks 2","Vancouver Canucks","Limited ReportFull Report","46.466666666667","38.22","36.42","51.21","28.82","27.04","51.59","22.94","19.96","53.47","1.23","2.67","31.51","1.22","1.28","48.76","18","17.67","50.46","4.76","6.72","41.48","2.37","5.36","30.62","0","1.37","0.00","0.00","74.51","13.19","11.02","54.48","11.09","3.95","73.73","0","1.37","0.00","0.00","65.42","14.2","14.75","49.05","8.33","7.85","51.49","1.14","0","100.00","13.69","100.00","5.35","86.62","0.920","15589"
"2017-10-12 - Penguins 4, Lightning 5","Tampa Bay Lightning","Limited ReportFull Report","43.4","71.84","57.43","55.57","54.02","51.66","51.12","39.82","38.6","50.78","4.04","4.2","49.00","2.63","2.67","49.59","37.11","30.14","55.18","12.38","9.82","55.77","9.81","9.7","50.29","1.37","2.83","32.61","13.95","70.83","25.11","19.91","55.78","12.31","13.78","47.18","1.31","1.41","48.10","10.65","89.73","33.77","23.07","59.41","17.89","10.03","64.08","1.47","0","100.00","8.20","100.00","10.14","89.11","0.993","19092"
"2017-10-12 - Red Wings 4, Coyotes 2","Arizona Coyotes","Limited ReportFull Report","43.783333333333","59.61","56.28","51.44","43.54","52.01","45.57","30.42","37.82","44.57","1.29","1.39","48.26","2.21","2.32","48.80","28.58","22.77","55.66","8.97","11.59","43.61","5.19","5.69","47.68","0","1.38","0.00","0.00","75.68","19.69","11.18","63.78","13.22","8.39","61.18","1.3","0","100.00","9.83","100.00","28.22","33.78","45.52","12.04","23.68","33.71","0","0","-","0.00","100.00","4.25","96.34","1.006","13584"
"2017-10-12 - Sabres 2, Sharks 3","San Jose Sharks","Limited ReportFull Report","47.566666666667","63.41","43.61","59.25","47.46","29.47","61.69","28.16","20.85","57.46","2.38","2.55","48.26","2.2","1.38","61.51","19.87","20.09","49.73","7.31","5.06","59.10","6.12","5","55.05","2.38","1.27","65.08","38.78","74.52","12.69","14.78","46.20","3.74","7.59","33.01","0","1.33","0.00","0.00","82.42","34.14","19.32","63.87","15.96","6.05","72.50","0","0","-","0.00","100.00","8.45","87.76","0.962","17402"
"2017-10-12 - Stars 1, Predators 4","Nashville Predators","Limited ReportFull Report","49.316666666667","50.06","61.92","44.71","38.82","46.62","45.44","29.06","30.48","48.81","2.33","0","100.00","1.79","2.9","38.17","21.67","32.41","40.07","7.06","21.31","24.90","7.14","13.72","34.23","1.2","0","100.00","16.87","100.00","14.8","11.18","56.97","8.46","2.52","77.02","0","0","-","0.00","100.00","21.95","21.8","50.18","9.5","11.92","44.35","1.08","0","100.00","11.38","100.00","8.01","100.00","1.080","17113"
"2017-10-12 - Wild 5, Blackhawks 2","Chicago Blackhawks","Limited ReportFull Report","45.05","58.21","59.37","49.51","44.5","46.52","48.89","36.93","37.96","49.31","1.23","2.81","30.42","2.17","2.64","45.09","28.7","28.64","50.05","13.49","18.89","41.66","12.36","13.05","48.66","1.22","1.41","46.44","9.89","89.19","15.1","9.98","60.21","7.7","5.59","57.93","0","0","-","0.00","100.00","24.13","24.88","49.23","14.09","16.55","45.98","0","1.4","0.00","0.00","91.52","3.33","92.59","0.959","21386"
"2017-10-13 - Capitals 5, Devils 2","New Jersey Devils","Limited ReportFull Report","45.833333333333","42.59","62.02","40.72","34.07","50.14","40.46","21.45","29.97","41.72","1.25","2.79","30.84","1.5","3.75","28.60","21.25","38.93","35.31","8.34","7.13","53.94","6.01","7.08","45.93","1.22","1.42","46.20","20.23","79.99","12.58","32.12","28.14","6.04","15.51","28.03","0","1.38","0.00","0.00","91.12","21.42","19.88","51.87","9.27","5.77","61.61","0","0","-","0.00","100.00","5.80","90.69","0.965","13458"
"2017-10-13 - Ducks 1, Avalanche 3","Colorado Avalanche","Limited ReportFull Report","40.916666666667","81.67","40.46","66.87","53.06","32.02","62.37","36.92","19.04","65.97","0","0","-","2.21","1.3","63.01","30.24","13.29","69.46","11.7","9.01","56.50","7.4","1.45","83.57","0","0","-","0.00","100.00","18.75","4.3","81.36","7.2","1.47","83.03","0","0","-","0.00","100.00","40.6","23.24","63.60","18.28","13.11","58.23","0","0","-","0.00","100.00","0.00","100.00","1.000","15393"
"2017-10-13 - Rangers 1, Blue Jackets 3","Columbus Blue Jackets","Limited ReportFull Report","43.55","79.31","54.76","59.16","64.14","43.49","59.59","47.48","36.04","56.85","2.57","1.46","63.87","5.13","2.83","64.49","46.54","27.69","62.69","19.22","15.03","56.11","14.18","11.94","54.28","0","1.46","0.00","0.00","87.79","27.14","12.7","68.12","17.27","5.66","75.32","1.31","0","100.00","7.56","100.00","29.79","22.78","56.67","15.71","15.59","50.18","1.23","0","100.00","7.80","100.00","5.42","95.96","1.014","15342"
"2017-10-13 - Red Wings 6, Golden Knights 3","Vegas Golden Knights","Limited ReportFull Report","51.566666666667","45.38","52.96","46.15","36.38","41.49","46.72","26.11","30.32","46.26","3.25","7.34","30.68","1.63","2.65","38.04","22.2","23.26","48.83","8.46","14.82","36.32","6.45","12.11","34.75","2.16","6.13","26.09","33.55","49.39","13.5","8.6","61.09","8.72","6.08","58.89","1.12","1.13","49.70","12.83","81.41","21.05","27.28","43.55","8.67","11.13","43.79","0","0","-","0.00","100.00","12.44","75.80","0.882","17645"
"2017-10-13 - Senators 6, Flames 0","Calgary Flames","Limited ReportFull Report","41.533333333333","61.39","41.93","59.42","36.55","35.31","50.86","23.82","20.86","53.32","0","4.65","0.00","1.8","1.48","54.89","31.09","13.03","70.47","7.71","4.85","61.38","5.11","4.84","51.32","0","1.53","0.00","0.00","68.42","23.18","8.32","73.60","10.77","3.24","76.89","0","1.5","0.00","0.00","53.57","22.75","27.25","45.50","6.74","12.88","34.34","0","1.6","0.00","0.00","87.54","0.00","77.73","0.777","19289"
"2017-10-14 - Avalanche 1, Stars 3","Dallas Stars","Limited ReportFull Report","40.516666666667","63.84","47.14","57.53","50.12","36.07","58.15","35.48","27.48","56.35","1.4","1.5","48.19","2.28","1.3","63.69","31.47","20.83","60.18","7.01","4.64","60.18","2.89","4.59","38.68","0","0","-","0.00","100.00","24.74","15.92","60.85","14.46","8.87","61.98","1.4","1.52","48.10","9.71","82.92","27.34","21.16","56.36","16.87","13.94","54.75","0","0","-","0.00","100.00","3.94","94.53","0.985","17967"
"2017-10-14 - Blue Jackets 5, Wild 4","Minnesota Wild","Limited ReportFull Report","50.383333333333","35.47","53.6","39.82","24.05","39.86","37.63","16.8","35.21","32.30","2.3","4.82","32.29","1.36","1.71","44.30","17.6","21.57","44.94","8.03","6.1","56.83","5.71","6.03","48.62","1.12","1.23","47.62","19.64","79.55","9.61","15.21","38.73","3.53","10.71","24.80","1.12","2.48","31.16","31.76","76.86","12.41","25.4","32.83","6.3","16.04","28.21","0","1.12","0.00","0.00","93.03","13.69","86.30","1.000","19064"
