"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2013-10-01 - Capitals 4, Blackhawks 6","Washington Capitals","Limited ReportFull Report","45.65","43.15","55.95","43.54","26.99","39.97","40.31","20.46","33.38","38.00","1.33","4.93","21.22","1.4","1.88","42.68","19.69","25.74","43.35","2.64","10.25","20.45","2.61","9.04","22.38","0","2.44","0.00","0.00","72.96","16.76","15.64","51.72","6.59","6.52","50.26","1.39","1.25","52.74","21.10","80.90","22.7","22.99","49.68","11.16","15.21","42.30","0","1.24","0.00","0.00","91.83","6.50","85.22","0.917","22158"
"2013-10-01 - Jets 5, Oilers 4","Winnipeg Jets","Limited ReportFull Report","44.116666666667","51.89","64.41","44.62","41.59","40.18","50.86","28.24","30.79","47.84","5.63","2.57","68.68","3.61","1.93","65.21","33.01","28.83","53.38","18.24","7.8","70.05","12.47","3.95","75.97","1.44","1.28","52.92","11.54","67.54","14.63","21.2","40.83","12.27","11.94","50.68","4.26","1.29","76.77","34.73","89.20","15.81","29.77","34.68","4.14","15.01","21.61","0","0","-","0.00","100.00","19.93","91.66","1.116","16839"
"2013-10-01 - Maple Leafs 4, Canadiens 3","Toronto Maple Leafs","Limited ReportFull Report","39.166666666667","62.17","82.1","43.09","41.42","64.62","39.06","30.18","42.87","41.31","3.2","2.9","52.42","2.25","3.5","39.18","25.72","31.84","44.68","6.61","19.12","25.69","5.05","14.67","25.62","1.66","2.87","36.65","32.80","80.47","19.01","12.42","60.48","12.55","5.68","68.86","1.62","0","100.00","12.91","100.00","25.51","43.19","37.14","12.7","22.6","35.98","0","0","-","0.00","100.00","10.60","93.23","1.038","21273"
"2013-10-02 - Ducks 1, Avalanche 6","Anaheim Ducks","Limited ReportFull Report","47.85","58.18","53.34","52.17","45.97","42.11","52.19","35.31","28.61","55.25","1.26","3.68","25.49","2.03","1.8","53.05","24.63","20.83","54.18","9.99","6.39","60.98","8.66","6.48","57.21","1.28","2.45","34.33","14.81","62.14","14.48","14.78","49.49","4.79","3.83","55.55","0","1.19","0.00","0.00","69.00","27.12","23.87","53.18","18.94","15.79","54.53","0","0","-","0.00","100.00","3.57","87.13","0.907","18007"
"2013-10-02 - Maple Leafs 3, Flyers 1","Toronto Maple Leafs","Limited ReportFull Report","43.716666666667","46.05","58.4","44.09","36.28","38.25","48.68","29.2","22.5","56.49","2.84","0","100.00","1.61","1.96","45.18","20.01","26.32","43.20","7.05","10.05","41.24","6.97","7.63","47.77","2.84","0","100.00","40.71","100.00","12.96","16.34","44.23","4.26","5.4","44.08","0","0","-","0.00","100.00","19.17","27.8","40.81","13.42","9.23","59.23","0","0","-","0.00","100.00","9.72","100.00","1.097","19872"
"2013-10-02 - Sabres 1, Red Wings 2","Buffalo Sabres","Limited ReportFull Report","41.233333333333","26.9","66.23","28.89","19.14","54.66","25.93","15.09","40.95","26.92","1.48","2.81","34.43","0.89","1.97","31.08","12.67","27.96","31.19","4.34","7.12","37.87","4.28","5.83","42.33","1.51","1.37","52.38","35.22","76.50","8.07","21.36","27.43","4.25","14.72","22.42","0","1.37","0.00","0.00","90.69","9.55","34.2","21.83","5.26","18.89","21.79","0","0","-","0.00","100.00","9.78","93.13","1.029","20066"
"2013-10-03 - Canucks 1, Sharks 4","Vancouver Canucks","Limited ReportFull Report","38.5","72.83","67.61","51.86","55.16","47.8","53.57","27.2","32.95","45.22","0","5.99","0.00","2.48","3.47","41.74","26.77","27.93","48.94","13.33","16.09","45.31","6.66","11.71","36.24","0","1.5","0.00","0.00","87.17","13.68","11.56","54.20","6.55","4.45","59.54","0","1.47","0.00","0.00","67.00","36.54","33.96","51.83","13.72","16.64","45.19","0","2.86","0.00","0.00","82.81","0.00","81.83","0.818","17562"
"2013-10-03 - Devils 0, Penguins 3","New Jersey Devils","Limited ReportFull Report","55.416666666667","54.21","39.8","57.66","34.56","28.98","54.39","26.5","23.53","52.97","0","3.16","0.00","2.15","1.51","58.80","31.7","23.12","57.82","10.66","4.28","71.35","7.33","3.23","69.43","0","2.09","0.00","0.00","35.20","20.55","19.38","51.47","11.65","12.04","49.17","0","1.06","0.00","0.00","91.21","18.84","13.51","58.23","6.87","8.07","45.95","0","0","-","0.00","100.00","0.00","86.57","0.866","18621"
"2013-10-03 - Flames 4, Capitals 5","Calgary Flames","Limited ReportFull Report","46.483333333333","61.13","62.1","49.61","46.34","45.78","50.31","37.72","32.38","53.81","2.72","2.41","52.98","3.61","2.36","60.47","36.78","38.9","48.60","20.06","7.88","71.80","14.2","6.74","67.81","1.38","1.17","54.12","9.73","82.62","17.05","30.53","35.83","6.9","14.23","32.65","1.36","1.33","50.58","19.68","90.68","22.75","22.63","50.13","15.37","11.4","57.42","0","0","-","0.00","100.00","7.20","92.55","0.998","18506"
"2013-10-03 - Kings 3, Wild 2","Los Angeles Kings","Limited ReportFull Report","45.05","44.99","40.53","52.61","23.4","28.32","45.25","14.31","25.69","35.77","1.35","1.26","51.74","0.92","1.51","37.92","15.91","19.5","44.92","5.34","7.72","40.90","5.28","6.47","44.95","1.35","1.25","51.76","25.48","80.61","10.4","11.88","46.68","2.67","5.24","33.75","0","0","-","0.00","100.00","20.28","18.09","52.86","6.39","14.22","31.00","0","0","-","0.00","100.00","9.42","95.11","1.045","18511"
