"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2013-10-03 - Lightning 1, Bruins 3","Tampa Bay Lightning","Limited ReportFull Report","48.15","45.89","60.9","42.97","35.27","39.97","46.88","28.19","25.86","52.15","1.26","1.18","51.74","2.13","2.21","49.00","23.67","18.71","55.85","10.04","7.41","57.52","8.68","3.79","69.60","1.26","0","100.00","14.50","100.00","13.41","11.46","53.94","6.31","3.73","62.84","0","1.18","0.00","0.00","68.34","20.61","35.55","36.69","13.12","18.93","40.94","0","0","-","0.00","100.00","4.47","95.45","0.999","17565"
"2013-10-03 - Panthers 4, Stars 2","Florida Panthers","Limited ReportFull Report","45.516666666667","55.82","64.42","46.43","46.34","41.58","52.71","37.96","31.69","54.50","4.12","1.22","77.18","3.27","2.13","60.53","26.21","33.57","43.85","18.05","3.63","83.26","17.88","2.42","88.10","2.73","1.21","69.26","15.25","49.91","8.33","30.22","21.60","6.8","17.87","27.57","0","0","-","0.00","100.00","21.59","21.54","50.06","10.81","11.47","48.51","1.39","0","100.00","12.85","100.00","10.85","96.16","1.070","16100"
"2013-10-03 - Predators 2, Blues 4","Nashville Predators","Limited ReportFull Report","45.65","54.17","51.02","51.50","41.79","41.79","50.00","30.7","30.61","50.07","2.65","2.59","50.55","2.25","1.78","55.79","29.35","25.78","53.23","11.68","6.63","63.80","10.24","4.02","71.80","1.34","2.57","34.35","13.12","36.13","17.29","19.72","46.72","7.72","10.75","41.81","1.34","0","100.00","17.41","100.00","22.52","22.85","49.63","11.55","16.03","41.87","0","0","-","0.00","100.00","8.64","91.52","1.002","18851"
"2013-10-03 - Rangers 1, Coyotes 4","New York Rangers","Limited ReportFull Report","46.2","44.04","51.82","45.94","27.27","33.25","45.06","16.13","23.74","40.45","0","2.45","0.00","1.24","1.8","40.88","21.86","20.87","51.16","6.51","7.45","46.65","3.86","4.91","44.01","0","2.45","0.00","0.00","50.24","15.05","13.67","52.39","7.7","7.89","49.38","0","0","-","0.00","100.00","19.26","23.55","45.00","4.72","9.44","33.36","0","0","-","0.00","100.00","0.00","89.68","0.897","17125"
"2013-10-04 - Flames 4, Blue Jackets 3","Calgary Flames","Limited ReportFull Report","46.866666666667","51.07","65.92","43.65","40.41","43.15","48.36","29.57","36.01","45.09","5.44","2.4","69.37","2.38","2.85","45.43","23.11","29.49","43.93","8.32","13.93","37.39","6.9","14.03","32.96","4.1","2.36","63.40","59.37","83.15","14.78","15.38","49.00","11.96","4.78","71.46","1.35","0","100.00","11.26","100.00","25.45","24.4","51.05","10.78","15.79","40.58","0","0","-","0.00","100.00","18.38","93.33","1.117","18151"
"2013-10-04 - Islanders 4, Devils 3","New York Islanders","Limited ReportFull Report","52","37.6","50.96","42.46","29.38","39.55","42.62","25.88","30.71","45.73","3.55","3.24","52.28","1.67","2.29","42.19","16.82","24.2","41.00","7.3","16.27","30.97","7.22","14.34","33.50","2.39","3.23","42.48","33.04","77.46","9.54","7.77","55.12","8.27","5.58","59.69","1.22","0","100.00","14.76","100.00","16.22","21.82","42.64","9.35","10.66","46.73","0","0","-","0.00","100.00","13.73","89.44","1.032","16624"
"2013-10-04 - Kings 3, Jets 5","Los Angeles Kings","Limited ReportFull Report","41.95","66.22","57.5","53.52","49.88","44.59","52.80","37.44","31.97","53.94","1.51","4.08","27.02","2.63","2.69","49.48","32.4","28.08","53.57","13.4","16.87","44.27","10.32","17.08","37.67","1.51","2.73","35.71","14.66","84.04","18.91","11.09","63.04","11.77","2.72","81.24","0","1.37","0.00","0.00","49.43","25.92","23.32","52.65","12.5","12.03","50.96","0","0","-","0.00","100.00","4.04","87.24","0.913","15004"
"2013-10-04 - Predators 1, Avalanche 3","Nashville Predators","Limited ReportFull Report","42.9","45.78","67.24","40.51","34.96","55.29","38.74","25.13","43.82","36.44","1.42","2.7","34.43","1.67","2.65","38.61","22.86","31.81","41.81","5.76","16.56","25.82","5.7","12.52","31.27","1.45","2.7","34.91","25.42","78.43","16.88","15.41","52.29","11.4","11.02","50.86","0","0","-","0.00","100.00","16.44","27.42","37.48","5.42","17.52","23.63","0","0","-","0.00","100.00","5.65","93.83","0.995","14494"
"2013-10-04 - Red Wings 3, Hurricanes 2","Detroit Red Wings","Limited ReportFull Report","47.15","65.27","58.13","52.89","47.26","41.98","52.96","32.24","26.19","55.18","1.29","1.2","51.81","2.95","2.85","50.85","30.7","31.91","49.03","10.29","16.37","38.59","7.65","12.78","37.44","0","1.2","0.00","0.00","90.62","20.11","15.69","56.18","7.65","3.84","66.57","1.3","0","100.00","17.01","100.00","32.92","18.64","63.85","15.62","7.99","66.16","0","0","-","0.00","100.00","4.00","95.41","0.994","18680"
"2013-10-04 - Senators 1, Sabres 0","Ottawa Senators","Limited ReportFull Report","46.716666666667","83.49","51.05","62.05","63.71","44.76","58.74","43.65","36.2","54.67","1.36","0","100.00","3.09","2.54","54.93","33.66","22","60.48","9.58","13.21","42.04","6.77","12.15","35.78","1.36","0","100.00","20.09","100.00","23.91","8.68","73.37","17.17","7.49","69.65","0","0","-","0.00","100.00","42.19","25.07","62.73","19.64","16.47","54.40","0","0","-","0.00","100.00","3.11","100.00","1.031","19070"
"2013-10-05 - Blue Jackets 3, Islanders 2","Columbus Blue Jackets","Limited ReportFull Report","54.15","53.31","46.59","53.36","32.8","34.3","48.89","23.96","25.58","48.36","1.12","1.1","50.57","2.29","2.37","49.21","28.25","25.97","52.10","10.23","12.88","44.27","9.03","9.89","47.73","1.12","1.1","50.51","12.40","88.91","17.85","13.15","57.58","5.58","3.23","63.34","0","0","-","0.00","100.00","20.45","16.66","55.11","7.34","12.48","37.02","0","0","-","0.00","100.00","4.68","95.72","1.004","16170"
"2013-10-05 - Capitals 1, Stars 2","Washington Capitals","Limited ReportFull Report","51.683333333333","46.21","52.01","47.04","32.77","42.59","43.49","23.36","22.93","50.47","0","2.17","0.00","1.75","2.87","37.82","21.48","27.12","44.20","7.42","9.92","42.78","4.89","6.59","42.60","0","2.16","0.00","0.00","67.26","13.94","17.32","44.59","5.88","7.96","42.48","0","0","-","0.00","100.00","22.84","18.65","55.05","12.52","8.22","60.36","0","0","-","0.00","100.00","0.00","90.55","0.905","17200"
"2013-10-05 - Coyotes 1, Sharks 4","Phoenix Coyotes","Limited ReportFull Report","49.933333333333","39.14","75.89","34.03","26.75","60.07","30.81","21.2","45.48","31.80","1.21","1.13","51.56","0.99","3.53","21.95","10.37","40.34","20.45","2.41","14.68","14.10","1.19","12.37","8.78","0","1.13","0.00","0.00","90.85","7.64","26.23","22.56","5.73","15.17","27.41","0","0","-","0.00","100.00","24.68","28.42","46.47","13.63","15.11","47.43","1.13","0","100.00","8.28","100.00","5.69","97.51","1.032","17562"
"2013-10-05 - Ducks 4, Wild 3","Anaheim Ducks","Limited ReportFull Report","49","34.65","55.22","38.56","29.16","39.46","42.50","22.35","27.64","44.71","2.61","1.13","69.78","1.29","3.21","28.65","16.03","32.62","32.95","9.51","16.24","36.93","8.11","10.93","42.58","1.32","1.12","54.10","16.34","89.72","6.64","15.88","29.49","5.14","10.04","33.87","1.29","0","100.00","25.05","100.00","13.11","18.93","40.91","5.18","6.65","43.79","0","0","-","0.00","100.00","11.69","95.91","1.076","18213"
"2013-10-05 - Flyers 1, Canadiens 4","Philadelphia Flyers","Limited ReportFull Report","34.4","41.42","83.13","33.25","26.99","56.54","32.31","13.52","34.52","28.15","0","3.37","0.00","1.05","3.14","25.01","14.06","28.37","33.13","5.36","15.64","25.51","3.57","8.71","29.06","0","1.64","0.00","0.00","81.14","8.54","12.73","40.15","1.79","5.27","25.41","0","1.64","0.00","0.00","68.81","19.37","39.46","32.92","7.81","20.88","27.23","0","0","-","0.00","100.00","0.00","90.24","0.902","21273"
"2013-10-05 - Lightning 3, Blackhawks 2","Tampa Bay Lightning","Limited ReportFull Report","49.35","39.97","59.64","40.13","20.01","48.05","29.40","13.98","35.76","28.11","1.23","1.15","51.81","1.12","3.38","24.91","13.45","33.78","28.47","5.09","15.41","24.82","1.28","11.87","9.75","0","1.14","0.00","0.00","90.35","8.2","18.49","30.72","4.77","9.74","32.88","1.24","0","100.00","26.06","100.00","22.08","19.83","52.68","7.76","12.74","37.86","0","0","-","0.00","100.00","8.82","96.79","1.056","21563"
"2013-10-05 - Oilers 2, Canucks 6","Edmonton Oilers","Limited ReportFull Report","37","42.02","62.35","40.26","29.17","41.34","41.37","16.67","34.67","32.48","0","3.13","0.00","1.44","2.35","37.95","17.48","37.61","31.73","3.45","14.23","19.54","1.71","11.34","13.10","0","1.61","0.00","0.00","85.85","13.57","23.8","36.32","4.63","11.4","28.86","0","1.54","0.00","0.00","86.52","24.94","20.3","55.13","9.92","10.07","49.64","0","0","-","0.00","100.00","0.00","90.96","0.910","18910"
"2013-10-05 - Panthers 0, Blues 7","Florida Panthers","Limited ReportFull Report","41","44.17","57.87","43.28","33.64","50.75","39.86","22.36","35.21","38.84","0","7.26","0.00","2.31","2.37","49.33","24.82","33.1","42.85","9.08","7.37","55.19","8.98","5.99","59.99","0","2.86","0.00","0.00","52.24","15.45","26.39","36.93","2.75","11.97","18.68","0","2.93","0.00","0.00","75.49","18.75","23.52","44.36","10.35","17.41","37.29","0","1.55","0.00","0.00","91.08","0.00","79.38","0.794","16264"
"2013-10-05 - Red Wings 1, Bruins 4","Detroit Red Wings","Limited ReportFull Report","49.95","47.31","57.18","45.28","35.43","47.38","42.79","26.29","36.03","42.18","1.21","2.32","34.36","1.41","2.14","39.78","18.79","26.76","41.25","4.78","9.65","33.14","4.72","7.31","39.25","1.21","1.19","50.51","25.69","83.74","13.64","17.41","43.93","9.46","9.71","49.34","0","0","-","0.00","100.00","25.71","25.61","50.10","9.76","16.63","36.97","0","1.14","0.00","0.00","93.17","4.62","93.56","0.982","17565"
"2013-10-05 - Sabres 1, Penguins 4","Buffalo Sabres","Limited ReportFull Report","51.95","33.78","68.08","33.17","19.44","49.91","28.04","17.33","34.06","33.72","1.16","2.23","34.20","0.84","3.4","19.76","15.57","36.68","29.80","4.56","19.69","18.80","4.49","15.22","22.80","1.18","2.23","34.61","26.27","85.35","10.7","17.08","38.52","5.54","7.16","43.63","0","0","-","0.00","100.00","14.68","26.07","36.02","6.22","11.3","35.48","0","0","-","0.00","100.00","6.69","93.45","1.001","18641"
"2013-10-05 - Senators 4, Maple Leafs 5","Ottawa Senators","Limited ReportFull Report","48.966666666667","74.2","56.61","56.72","56.42","41.75","57.47","39.68","32.44","55.02","5.15","2.29","69.23","2","2.26","46.94","25.74","25.14","50.58","3.92","9.03","30.24","2.58","9.11","22.09","0","2.28","0.00","0.00","74.99","21.68","16.07","57.44","12.76","10.52","54.81","5.15","0","100.00","40.34","100.00","46.09","30.22","60.39","24.22","12.68","65.64","0","0","-","0.00","100.00","12.97","92.95","1.059","19552"
"2013-10-06 - Canucks 5, Flames 4","Vancouver Canucks","Limited ReportFull Report","50.2","63.05","55.64","53.12","45.43","40.58","52.82","30.41","31.2","49.36","4.95","3.41","59.17","3.03","2.41","55.62","36.05","30.74","53.97","17.6","13.61","56.39","14.83","10.21","59.23","3.77","1.13","77.00","25.41","88.98","18.55","17.05","52.10","4.94","9.18","34.98","1.26","2.27","35.74","25.61","75.22","19.3","22.08","46.64","7.3","11.69","38.45","0","0","-","0.00","100.00","16.26","89.06","1.053","19289"
"2013-10-06 - Ducks 3, Jets 2","Anaheim Ducks","Limited ReportFull Report","47.416666666667","60.69","43.11","58.47","48.27","27.54","63.67","35.47","18.85","65.30","2.56","1.19","68.19","3.32","1.44","69.72","35.22","20.74","62.94","15.86","8.36","65.48","14.35","4.87","74.67","2.56","0","100.00","17.81","100.00","19.27","12.44","60.77","14.19","6.21","69.55","0","1.2","0.00","0.00","80.69","21.01","18.19","53.60","7.24","7.72","48.40","0","0","-","0.00","100.00","7.22","93.67","1.009","15004"
"2013-10-06 - Flyers 1, Hurricanes 2","Philadelphia Flyers","Limited ReportFull Report","47.133333333333","44.81","63.09","41.53","33.94","48.7","41.07","21.37","37.24","36.46","1.29","2.4","34.89","1.46","2.04","41.70","16.74","19.99","45.58","5.19","10","34.16","2.6","6.34","29.11","0","0","-","0.00","100.00","11.41","10.05","53.15","9","3.74","70.64","1.35","1.21","52.74","14.96","67.75","24.48","39.09","38.51","8.46","26.38","24.28","0","1.2","0.00","0.00","95.43","6.03","93.55","0.996","16088"
"2013-10-07 - Devils 4, Oilers 5","New Jersey Devils","Limited ReportFull Report","48.266666666667","50.96","39.56","56.30","37.51","26.91","58.22","24.7","16.86","59.43","2.62","3.5","42.76","2.07","1.78","53.82","26.59","24.33","52.22","4.32","6.72","39.10","1.47","4.59","24.30","0","1.17","0.00","0.00","74.49","22.51","17.4","56.40","12.07","6.76","64.09","2.52","1.28","66.32","20.85","81.10","22.66","11.14","67.05","11.04","4.51","71.00","0","1.11","0.00","0.00","75.50","10.60","79.22","0.898","16839"
"2013-10-07 - Rangers 3, Kings 1","New York Rangers","Limited ReportFull Report","47.35","62.73","50.86","55.22","48.24","38.35","55.71","30","23.25","56.34","2.7","0","100.00","2.97","1.71","63.43","29.2","14.97","66.11","12.71","6.81","65.11","9.8","3.42","74.12","1.37","0","100.00","13.99","100.00","16.71","8.03","67.53","9.37","4.76","66.32","1.33","0","100.00","14.22","100.00","26.09","27.92","48.31","9.5","14.93","38.89","0","0","-","0.00","100.00","9.01","100.00","1.090","18118"
"2013-10-08 - Avalanche 2, Maple Leafs 1","Colorado Avalanche","Limited ReportFull Report","49.35","59.11","61.18","49.14","47.76","44.07","52.01","36.26","26.87","57.44","2.51","1.15","68.67","2.33","2.1","52.61","27.99","25.04","52.78","7.83","6.76","53.69","6.48","5.75","52.98","1.29","1.14","52.92","19.86","80.10","20.04","18.27","52.31","13.77","9.29","59.71","0","0","-","0.00","100.00","26.33","33.8","43.79","14.78","11.88","55.44","1.14","0","100.00","7.72","100.00","6.93","95.73","1.027","19388"
"2013-10-08 - Coyotes 1, Islanders 6","Phoenix Coyotes","Limited ReportFull Report","47.05","62.21","54.46","53.32","56.6","41.07","57.95","38.96","30","56.50","1.28","5","20.39","2.79","3","48.18","39.11","29.08","57.36","13.76","15.45","47.11","7.44","11.71","38.86","1.3","3.69","26.08","17.52","68.44","24.76","13.73","64.33","18.47","9.31","66.49","0","1.25","0.00","0.00","86.62","20.29","15.63","56.49","10.87","5.81","65.18","0","0","-","0.00","100.00","3.29","83.33","0.866","10288"
"2013-10-08 - Devils 2, Canucks 3","New Jersey Devils","Limited ReportFull Report","54","37.27","49.09","43.16","34.92","36.6","48.83","25.56","28.37","47.39","2.37","2.08","53.22","1.75","1.6","52.18","19.99","18.84","51.48","12.01","6.17","66.04","8.4","5.19","61.80","2.38","0","100.00","28.33","100.00","8.05","12.69","38.80","8","7.46","51.75","0","1.07","0.00","0.00","85.69","17.44","29.06","37.51","9.3","14.55","39.00","0","0.98","0.00","0.00","93.25","9.27","92.66","1.019","18910"
"2013-10-08 - Hurricanes 2, Penguins 5","Carolina Hurricanes","Limited ReportFull Report","48.016666666667","52.39","60.68","46.33","40.98","49.78","45.15","30.28","40.89","42.54","2.53","2.41","51.18","1.86","2.46","43.01","14.76","24.77","37.33","9.95","9.81","50.36","7.37","8.67","45.95","2.56","1.24","67.39","34.69","85.73","4.82","15.13","24.17","1.25","11.12","10.13","0","1.18","0.00","0.00","89.34","31.78","35.39","47.31","19.94","21.42","48.21","0","0","-","0.00","100.00","8.36","94.10","1.025","18451"
"2013-10-08 - Lightning 3, Sabres 2","Tampa Bay Lightning","Limited ReportFull Report","49.416666666667","56.5","39.23","59.02","43.12","29.63","59.28","33.32","19.03","63.64","1.23","0","100.00","2.43","1.53","61.33","23.93","19.77","54.76","16.66","6.89","70.76","12.72","3.45","78.69","0","0","-","0.00","100.00","7.39","12.97","36.32","1.25","5.93","17.40","0","0","-","0.00","100.00","30.33","17.88","62.90","19.26","9.69","66.53","1.14","0","100.00","5.92","100.00","3.69","100.00","1.037","18243"
"2013-10-08 - Panthers 1, Flyers 2","Florida Panthers","Limited ReportFull Report","38.7","71.57","61.04","53.97","54.94","44","55.53","41.73","29.27","58.77","1.57","3","34.43","2.64","2.22","54.38","33.7","20.34","62.36","12.54","6.15","67.09","10.87","1.47","88.12","1.61","1.46","52.38","14.77","0.48","20.73","14.42","58.97","12.34","7.78","61.34","0","1.46","0.00","0.00","81.23","34.54","33.61","50.68","18.29","19.05","48.97","0","0","-","0.00","100.00","3.77","89.77","0.935","19589"
"2013-10-08 - Rangers 2, Sharks 9","New York Rangers","Limited ReportFull Report","52.633333333333","47.37","99.74","32.20","34.63","74.33","31.78","16.93","50.27","25.19","1.14","6.73","14.53","1.83","5.18","26.11","18.42","42.16","30.41","13.38","24.25","35.57","5.51","16.41","25.14","1.17","5.57","17.30","21.14","66.06","5.11","17.85","22.24","2.14","10.35","17.14","0","0","-","0.00","100.00","18.07","46.67","27.91","7.87","22.22","26.15","0","1.08","0.00","0.00","95.15","6.76","86.61","0.934","17562"
"2013-10-08 - Wild 2, Predators 3","Minnesota Wild","Limited ReportFull Report","44.466666666667","57.1","35.74","61.51","45.19","30.96","59.34","33.39","21.14","61.24","0","0","-","1.88","1.25","60.16","17.32","12.37","58.34","6.81","4.08","62.57","3.97","4.13","49.00","0","0","-","0.00","100.00","10.33","8.43","55.08","8","4.11","66.05","0","0","-","0.00","100.00","28.76","21.77","56.92","18.31","11.77","60.87","0","0","-","0.00","100.00","0.00","100.00","1.000","17196"
"2013-10-09 - Blackhawks 2, Blues 3","Chicago Blackhawks","Limited ReportFull Report","56.033333333333","51.86","46.8","52.56","37.57","38.42","49.44","27.52","32.33","45.98","0","2.02","0.00","1.69","1.7","49.75","17.96","21.45","45.57","7.98","6.01","57.07","6.77","6.08","52.70","0","1.01","0.00","0.00","83.41","9.97","15.57","39.03","6.61","11.47","36.56","0","1.02","0.00","0.00","91.15","27.41","22.99","54.38","13.03","14.78","46.84","0","0","-","0.00","100.00","0.00","93.75","0.938","16565"
"2013-10-09 - Canadiens 2, Flames 3","Montreal Canadiens","Limited ReportFull Report","50.1","58.63","52.39","52.81","47.08","36.68","56.21","32.18","28.98","52.62","1.21","2.31","34.43","2.76","2.03","57.58","27.17","18.29","59.77","14.31","7.07","66.94","10.6","7.16","59.70","1.24","2.31","34.91","11.70","67.69","12.75","11.47","52.66","4.87","4.88","49.93","0","0","-","0.00","100.00","28.91","29.92","49.14","14.08","17.39","44.75","0","0","-","0.00","100.00","3.77","92.02","0.958","19289"
"2013-10-09 - Senators 3, Kings 4","Ottawa Senators","Limited ReportFull Report","47.133333333333","44.36","66.4","40.05","32.82","49.16","40.03","20.48","34.75","37.07","2.57","1.2","68.11","1.33","1.83","41.98","12.47","24.53","33.70","5.06","5.16","49.51","5","5.23","48.86","2.59","0","100.00","51.78","100.00","7.23","19.81","26.74","4.95","9","35.50","0","0","-","0.00","100.00","27.18","32.98","45.18","9.13","16.9","35.08","0","1.2","0.00","0.00","92.87","12.53","96.54","1.091","18118"
"2013-10-10 - Avalanche 2, Bruins 0","Colorado Avalanche","Limited ReportFull Report","44.166666666667","55.52","61.31","47.52","34.83","50.9","40.63","25.93","31.26","45.34","0","0","-","1.75","1.97","47.01","32.41","34.5","48.44","13.45","9.74","58.00","8.91","8.59","50.92","0","0","-","0.00","100.00","19.18","24.41","44.00","5.71","11.47","33.23","0","0","-","0.00","100.00","20.28","22.04","47.92","11.37","8.55","57.10","0","0","-","0.00","100.00","0.00","100.00","1.000","17565"
"2013-10-10 - Blue Jackets 4, Sabres 1","Columbus Blue Jackets","Limited ReportFull Report","49.716666666667","52.66","47.53","52.56","44.05","34.43","56.13","34.52","27.5","55.66","5.11","1.11","82.10","2.25","1.8","55.45","29.51","20.09","59.50","7.86","8.49","48.05","7.8","6.55","54.35","5.15","1.11","82.31","66.09","83.08","21.9","11.34","65.88","13.26","5.37","71.19","0","0","-","0.00","100.00","21.76","23.65","47.92","12.1","15.24","44.25","0","0","-","0.00","100.00","14.82","95.95","1.108","18210"
"2013-10-10 - Canadiens 4, Oilers 1","Montreal Canadiens","Limited ReportFull Report","45.616666666667","62.83","56.23","52.77","37.18","38.58","49.07","28.57","30.08","48.72","2.81","0","100.00","2.08","1.74","54.37","38.29","27.78","57.95","15.67","7.04","69.02","12.63","7.07","64.09","1.39","0","100.00","11.02","100.00","22.91","20.63","52.61","6.84","7.64","47.24","1.37","0","100.00","19.97","100.00","24.56","27.38","47.28","9.21","15.35","37.51","0","0","-","0.00","100.00","9.82","100.00","1.098","16839"
"2013-10-10 - Coyotes 4, Red Wings 2","Phoenix Coyotes","Limited ReportFull Report","50.883333333333","61.37","44","58.25","57.4","34.43","62.51","42.21","27.74","60.34","3.68","2.2","62.59","2.42","1.41","63.22","29.95","19.86","60.13","8.71","6.43","57.52","7.38","6.48","53.23","1.19","1.08","52.39","16.14","83.30","21.23","13.43","61.24","16.02","5.66","73.91","1.24","0","100.00","7.74","100.00","26.5","22.98","53.56","17.52","15.46","53.13","1.24","1.12","52.69","7.09","92.78","8.73","92.06","1.008","20066"
