"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2018-10-18 - Flyers 3, Blue Jackets 6","Philadelphia Flyers","Limited ReportFull Report","52","54.28","53.34","50.43","43.37","46.08","48.48","32.92","29.63","52.63","3.61","6.64","35.21","2.59","2.08","55.45","19.88","21.29","48.28","14.2","8.62","62.21","12.81","6.49","66.38","2.42","4.35","35.73","18.86","33.00","5.8","12.8","31.19","4.68","4.41","51.44","0","0","-","0.00","100.00","30.04","29.51","50.45","15.36","18.03","46.00","1.22","2.46","33.10","7.92","86.37","10.96","77.60","0.886","13492"
"2018-10-18 - Islanders 7, Kings 2","New York Islanders","Limited ReportFull Report","49.016666666667","56.25","55.94","50.14","45.87","42.02","52.19","33.65","28.03","54.55","5.22","0","100.00","2.46","2.34","51.29","25.84","22.7","53.24","8.17","9.46","46.34","6.85","7.29","48.45","2.63","0","100.00","38.42","100.00","17.98","12.98","58.07","7.91","5.7","58.11","2.46","0","100.00","31.12","100.00","26","28.35","47.84","17.66","13.53","56.62","0","0","-","0.00","100.00","15.51","100.00","1.155","18230"
"2018-10-18 - Penguins 3, Maple Leafs 0","Pittsburgh Penguins","Limited ReportFull Report","54.766666666667","82.62","72.88","53.13","73.48","52.75","58.21","40.91","33.09","55.28","0","0","-","2.81","2.57","52.21","25.18","29.54","46.01","10.79","12.69","45.95","7.19","8.81","44.94","0","0","-","0.00","100.00","14.7","16.42","47.24","5.87","7.12","45.19","0","0","-","0.00","100.00","49.98","42.75","53.90","24.28","16.04","60.22","0","0","-","0.00","100.00","0.00","100.00","1.000","19483"
"2018-10-18 - Red Wings 1, Lightning 3","Detroit Red Wings","Limited ReportFull Report","42.133333333333","53.18","57.7","47.96","39.53","35.99","52.35","30.95","25.99","54.36","1.44","2.69","34.89","2.03","1.54","56.90","23.28","25.22","48.00","8.75","5.5","61.38","7.24","2.69","72.87","1.44","2.68","34.92","19.88","0.48","14.4","19.99","41.87","7.25","8.52","45.98","0","0","-","0.00","100.00","28.72","26.29","52.21","14.72","13.41","52.32","0","0","-","0.00","100.00","4.65","89.66","0.943","19092"
"2018-10-18 - Sabres 1, Sharks 5","Buffalo Sabres","Limited ReportFull Report","38.283333333333","49.37","90.01","35.42","34.13","64.02","34.78","22.27","39.54","36.02","1.59","1.55","50.64","1.73","3.31","34.33","22.99","41.37","35.73","10.93","18.92","36.61","6.2","11.18","35.66","0","1.55","0.00","0.00","86.13","11.96","22.62","34.59","6.14","9.42","39.45","1.6","0","100.00","26.12","100.00","25.75","33.86","43.20","9.78","15.66","38.44","0","0","-","0.00","100.00","7.14","96.08","1.032","17389"
"2018-10-19 - Panthers 6, Capitals 5","Florida Panthers","Limited ReportFull Report","44.2","51.89","50.71","50.57","38.3","37.59","50.47","27.69","30.44","47.64","4.32","5.04","46.13","2.82","2.65","51.56","28.35","21.89","56.43","17.99","9.57","65.28","11.82","8.4","58.45","4.36","2.49","63.63","36.89","70.33","10.67","12.1","46.87","2.91","6.17","32.06","0","1.4","0.00","0.00","77.37","20.49","21.67","48.60","13.17","14.43","47.72","0","1.2","0.00","0.00","91.70","15.60","83.43","0.990","18506"
"2018-10-19 - Predators 5, Flames 3","Nashville Predators","Limited ReportFull Report","50.616666666667","56.74","58.05","49.43","43.5","39.28","52.55","31.92","25.24","55.84","3.76","2.19","63.17","3.24","2.43","57.09","38.63","27.1","58.77","19.49","12.85","60.27","14.31","9.72","59.55","2.51","1.09","69.75","17.54","88.80","19.49","13.99","58.22","8.79","2.25","79.61","1.25","0","100.00","14.19","100.00","7.78","24.61","24.02","5.12","10.76","32.24","0","1.05","0.00","0.00","90.20","11.77","91.32","1.031","18725"
"2018-10-19 - Wild 3, Stars 1","Minnesota Wild","Limited ReportFull Report","49.333333333333","70.58","49.51","58.77","49.8","31.71","61.10","39.63","25.85","60.52","2.51","1.15","68.67","3.88","2.03","65.63","48.15","25.39","65.47","24.29","12.51","66.01","17.71","11.51","60.62","2.52","0","100.00","14.20","100.00","23.86","12.78","65.12","10.06","6.98","59.03","0","0","-","0.00","100.00","18.46","20.4","47.51","9.64","4.8","66.78","0","1.15","0.00","0.00","76.01","6.35","95.56","1.019","18346"
"2018-10-20 - Avalanche 3, Hurricanes 1","Colorado Avalanche","Limited ReportFull Report","43.133333333333","43.02","67.19","39.03","25.95","49.33","34.47","13.8","36.54","27.41","2.93","1.28","69.66","2.39","3.62","39.73","22.85","32.57","41.23","16.94","19.85","46.05","10.91","16.09","40.42","2.96","1.26","70.11","27.14","92.15","6.04","12.38","32.79","0","7.76","0.00","0","0","-","-","100.00","16.84","28.94","36.78","3.01","11.15","21.28","0","0","-","0.00","100.00","21.22","96.51","1.177","11753"
"2018-10-20 - Blackhawks 4, Blue Jackets 1","Chicago Blackhawks","Limited ReportFull Report","46.633333333333","54.17","62.81","46.31","38.86","49.29","44.08","28.81","29.04","49.80","4.1","0","100.00","1.72","3.35","33.92","20.89","30.92","40.32","5.68","13.85","29.10","4.22","10.44","28.79","1.39","0","100.00","32.98","100.00","15.29","16.96","47.40","10.75","9.94","51.96","1.35","0","100.00","12.59","100.00","22.38","21.41","51.11","12.41","8.43","59.55","1.36","0","100.00","10.92","100.00","14.24","100.00","1.142","17005"
"2018-10-20 - Blues 4, Maple Leafs 1","St Louis Blues","Limited ReportFull Report","43.333333333333","57.46","51.39","52.78","42.15","35.16","54.52","27.1","18.61","59.29","4.41","1.27","77.62","2.53","2.13","54.27","28.58","22.22","56.26","12.21","8.5","58.95","7.59","6.08","55.51","1.47","0","100.00","19.32","100.00","16.51","13.54","54.93","7.34","8.92","45.14","2.79","1.33","67.70","37.97","85.09","22.96","25.5","47.39","9.44","3.66","72.08","0","0","-","0.00","100.00","16.25","93.18","1.094","19268"
"2018-10-20 - Bruins 1, Canucks 2","Boston Bruins","Limited ReportFull Report","51.916666666667","50.4","43.56","53.64","40.62","35.03","53.69","24.76","24.53","50.22","1.17","1.09","51.74","2.31","1.96","54.09","24.34","20.47","54.32","9.27","5.76","61.67","5.73","5.83","49.56","0","0","-","0.00","100.00","14.87","14.91","49.94","8.14","7.92","50.70","1.22","1.1","52.74","15.02","86.16","25.57","22.67","53.01","10.88","10.89","49.99","0","0","-","0.00","100.00","4.72","95.56","1.003","17871"
"2018-10-20 - Canadiens 3, Senators 4","Montreal Canadiens","Limited ReportFull Report","47.333333333333","58.52","39.73","59.56","36.1","29.14","55.34","26.14","24.5","51.62","2.73","2.41","53.08","1.32","1.53","46.34","29.29","20.93","58.32","9.82","9.23","51.54","4.26","5.7","42.76","1.37","0","100.00","32.22","100.00","19.77","11.53","63.15","5.44","7.04","43.61","1.32","2.61","33.58","24.20","62.98","22.1","15.34","59.03","13.77","9.43","59.36","0","0","-","0.00","100.00","10.44","90.16","1.006","18442"
"2018-10-20 - Coyotes 3, Jets 5","Arizona Coyotes","Limited ReportFull Report","43.55","68.79","46.8","59.51","53.26","31.46","62.86","46.17","23.34","66.42","4.25","2.66","61.49","3.58","2.16","62.32","37.87","18.62","67.04","15.76","10.41","60.23","11.22","9.23","54.87","1.46","1.3","52.92","12.99","85.95","21.91","8.14","72.91","16.7","4.05","80.48","2.82","1.3","68.48","16.88","67.96","27.89","22.18","55.70","16.85","7.2","70.06","0","0","-","0.00","100.00","9.21","88.59","0.978","15321"
"2018-10-20 - Devils 2, Flyers 5","New Jersey Devils","Limited ReportFull Report","46.25","41.03","57.32","41.72","30.45","36.33","45.59","19.76","18.99","50.99","0","2.45","0.00","1.44","1.84","43.94","16.05","22.07","42.09","8.13","3.64","69.08","5.31","3.68","59.04","0","1.22","0.00","0.00","66.83","7.9","18.57","29.85","3.97","7.56","34.43","0","0","-","0.00","100.00","19.93","23.85","45.52","10.52","6.52","61.75","0","1.23","0.00","0.00","81.17","0.00","87.11","0.871","19105"
"2018-10-20 - Ducks 1, Golden Knights 3","Anaheim Ducks","Limited ReportFull Report","46.283333333333","49.36","73.58","40.15","29.96","51.74","36.67","18.58","42.59","30.37","1.31","1.28","50.64","1.26","3.45","26.78","22.96","43.8","34.39","7.74","24.21","24.23","6.36","19.44","24.65","1.34","1.28","51.13","21.11","93.40","14.87","19.72","42.99","3.83","5.14","42.67","0","0","-","0.00","100.00","14.85","23","39.24","4.83","16.54","22.61","0","0","-","0.00","100.00","7.08","96.99","1.041","18375"
"2018-10-20 - Islanders 1, Sharks 4","New York Islanders","Limited ReportFull Report","51.383333333333","39.55","80.66","32.90","28.94","63.02","31.47","22.05","42.29","34.28","1.18","3.35","26.04","1.59","4.3","27.02","13.63","40.19","25.33","5.73","15.04","27.57","5.65","11.74","32.48","0","2.23","0.00","0.00","81.04","7.8","25.54","23.40","6.84","15.34","30.86","1.24","0","100.00","18.05","100.00","20.12","33.25","37.69","8.59","14.91","36.57","0","1.1","0.00","0.00","92.59","5.36","92.07","0.974","17414"
"2018-10-20 - Lightning 4, Wild 5","Tampa Bay Lightning","Limited ReportFull Report","45.133333333333","61.17","56.52","51.98","47.6","47.24","50.19","25.71","35.42","42.06","4.18","5.01","45.48","2.39","2.97","44.51","23.12","33.88","40.56","11.61","18.9","38.06","5.6","16.62","25.21","4.19","4.94","45.87","74.79","70.25","11.72","14.8","44.18","4.22","6.29","40.15","0","0","-","0.00","100.00","32.07","18.01","64.04","13.24","9.72","57.66","0","0","-","0.00","100.00","16.25","85.85","1.021","19080"
"2018-10-20 - Predators 3, Oilers 0","Nashville Predators","Limited ReportFull Report","41.35","60.73","50.41","54.64","37.65","42.7","46.86","31.31","33.4","48.39","1.56","0","100.00","1.91","1.78","51.78","23.6","26.4","47.20","8.11","3.88","67.64","6.57","2.63","71.39","0","0","-","0.00","100.00","15.47","22.42","40.84","9.22","14.87","38.26","1.51","0","100.00","16.36","100.00","23.39","21.38","52.24","10.9","14.54","42.84","0","0","-","0.00","100.00","4.99","100.00","1.050","18347"
"2018-10-20 - Red Wings 4, Panthers 3","Detroit Red Wings","Limited ReportFull Report","46.633333333333","55.11","51.39","51.75","42.16","38.58","52.22","29.4","32.3","47.65","1.36","2.49","35.35","2.16","1.51","58.77","27.79","20.8","57.18","8.28","4.87","62.93","6.78","2.46","73.36","1.36","0","100.00","20.10","100.00","19.31","15.97","54.73","9.08","13.61","40.03","0","1.22","0.00","0.00","91.04","23.73","26.57","47.18","12.05","15.13","44.35","0","1.37","0.00","0.00","90.97","4.62","92.30","0.969","14534"
"2018-10-20 - Sabres 5, Kings 1","Buffalo Sabres","Limited ReportFull Report","46.2","54.76","38.62","58.65","40.88","28.64","58.80","31.8","15.2","67.66","5.54","0","100.00","2.32","1.22","65.55","27.54","16.41","62.66","7.09","4.47","61.31","7.05","3.34","67.86","2.77","0","100.00","39.25","100.00","20.76","11.86","63.64","9.93","3.64","73.19","2.7","0","100.00","27.18","100.00","23.99","16.55","59.18","13.43","6.87","66.17","0","0","-","0.00","100.00","17.41","100.00","1.174","18230"
"2018-10-21 - Flames 4, Rangers 1","Calgary Flames","Limited ReportFull Report","53.4","59.24","72.41","45.00","39.18","53.38","42.33","29.2","43.81","40.00","4.75","0","100.00","2.06","4.35","32.17","23.48","45.22","34.17","12.45","27.76","30.96","10.04","20.21","33.19","4.81","0","100.00","47.94","100.00","11.19","16.96","39.75","1.23","7.08","14.84","0","0","-","0.00","100.00","22","21.51","50.56","13.13","14.09","48.25","0","0","-","0.00","100.00","16.28","100.00","1.163","17404"
"2018-10-21 - Lightning 6, Blackhawks 3","Tampa Bay Lightning","Limited ReportFull Report","44.933333333333","93.35","53.89","63.40","77.25","38.73","66.61","69.86","27.33","71.88","5.67","2.46","69.75","5.91","1.88","75.84","63.31","23.11","73.26","36.7","8.22","81.71","29.29","5.89","83.27","4.26","1.23","77.64","14.53","79.18","27.26","14.57","65.16","17.44","4.76","78.54","1.39","1.28","52.01","7.96","73.10","26.69","28.66","48.22","21.74","15.45","58.46","0","0","-","0.00","100.00","8.11","91.01","0.991","21012"
"2018-10-21 - Sabres 4, Ducks 2","Buffalo Sabres","Limited ReportFull Report","46.666666666667","66.59","41.72","61.48","56.37","34.29","62.18","43.31","23.89","64.45","1.3","2.48","34.36","2.84","1.72","62.18","30.62","19.77","60.77","14.93","5.94","71.53","12.26","6.01","67.12","1.3","1.21","51.76","10.59","79.84","15.65","13.89","52.99","11.79","6.34","65.02","0","1.21","0.00","0.00","80.91","31","16.57","65.17","18.12","7.5","70.71","0","0","-","0.00","100.00","3.00","89.60","0.926","17174"
