"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-04 - Blues 5, Penguins 4","St Louis Blues","Limited ReportFull Report","46.366666666667","52.04","53.06","49.52","40.97","39.57","50.87","28.79","26.22","52.34","2.09","2.79","42.79","2.47","2.4","50.77","27.08","23.93","53.08","11.93","9.01","56.98","9.62","3.67","72.40","1.01","0","100.00","10.50","100.00","15.39","14.83","50.93","8.42","6.67","55.79","1.04","0","100.00","12.35","100.00","22.93","25.48","47.37","11.03","12.96","45.98","0","2.72","0.00","0.00","78.97","7.25","89.35","0.966","18652"
"2017-10-04 - Flames 0, Oilers 3","Calgary Flames","Limited ReportFull Report","52.95","50.82","73.02","41.04","36.24","58.17","38.39","23.44","41.88","35.89","0","1.93","0.00","1.82","3.48","34.36","20.22","28.81","41.24","9.27","17.68","34.41","7.13","13.84","33.99","0","1.93","0.00","0.00","86.05","10.81","11.13","49.27","4.01","4.96","44.68","0","0","-","0.00","100.00","19.65","37.43","34.43","8.31","23.4","26.20","0","0","-","0.00","100.00","0.00","95.39","0.954","18347"
"2017-10-04 - Flyers 5, Sharks 3","Philadelphia Flyers","Limited ReportFull Report","46.266666666667","47.96","44.18","52.05","32.83","34.44","48.81","21.07","23.47","47.32","1.06","0.95","52.62","2.18","2.1","50.86","29.11","16.6","63.68","12.06","8.13","59.74","5.53","3.65","60.24","0","0.93","0.00","0.00","74.52","17.17","8.4","67.14","8.32","3.82","68.54","1.05","0","100.00","12.65","100.00","15.78","24.88","38.81","7.23","15.96","31.18","0","0","-","0.00","100.00","5.01","95.95","1.010","17562"
"2017-10-04 - Maple Leafs 7, Jets 2","Toronto Maple Leafs","Limited ReportFull Report","39.133333333333","42.1","32.76","56.24","26.94","21.23","55.93","19.06","15.86","54.59","5.37","1.83","74.55","1.54","1.35","53.35","22.58","13.85","61.99","7.96","6.8","53.92","6.78","6.78","49.97","2.18","1.82","54.61","32.24","73.23","14.78","6.89","68.20","6.49","2.82","69.69","2.08","0","100.00","32.05","100.00","14.57","13.88","51.21","4.74","5.19","47.69","1.12","0","100.00","23.58","100.00","28.19","88.44","1.166","15321"
"2017-10-05 - Avalanche 4, Rangers 2","Colorado Avalanche","Limited ReportFull Report","41.083333333333","33.37","35.81","48.24","25.71","25.49","50.21","18.09","17.47","50.87","2.11","0","100.00","1.84","1.58","53.83","20.34","20.64","49.64","10.87","8.91","54.98","7.5","5.36","58.31","1.06","0","100.00","14.12","100.00","9.56","11.44","45.52","4.16","5.59","42.66","1.05","0","100.00","25.30","100.00","9.89","11.8","45.59","5.56","5.52","50.18","0","0","-","0.00","100.00","11.68","100.00","1.117","18006"
"2017-10-05 - Canadiens 3, Sabres 2","Montreal Canadiens","Limited ReportFull Report","43.283333333333","38.45","42.36","47.58","29.76","38.86","43.37","25.72","31.77","44.74","1.01","0.94","51.74","1.64","1.85","46.89","17.35","16.76","50.86","10.15","5.98","62.92","8.98","5.04","64.05","0","0","-","0.00","100.00","7.18","10.91","39.70","3.06","5.91","34.13","0","0","-","0.00","100.00","17.45","25.38","40.74","12.55","21.35","37.01","0.94","0.95","49.79","7.48","95.57","3.93","97.03","1.010","19070"
"2017-10-05 - Capitals 5, Senators 4","Washington Capitals","Limited ReportFull Report","50","48.63","39.04","55.47","31.91","28.81","52.56","19.74","21.89","47.42","4.05","3.82","51.46","1.64","1.34","55.11","25.57","17.55","59.29","7.27","4.8","60.24","4.09","1.95","67.66","0","0.99","0.00","0.00","49.36","18.05","12.9","58.32","7.04","8.85","44.33","4.2","1.9","68.88","59.59","78.56","17.9","21.16","45.82","6.83","11.12","38.03","0","0.95","0.00","0.00","91.49","20.51","82.55","1.031","17009"
"2017-10-05 - Coyotes 4, Ducks 5","Arizona Coyotes","Limited ReportFull Report","45.116666666667","46.01","41.96","52.30","31.47","36","46.65","21.66","28.18","43.45","2.13","4.69","31.27","1.78","1.83","49.37","27.37","24.15","53.12","8.83","7.87","52.88","6.62","7","48.60","2.14","1.83","53.97","32.33","73.93","18.79","15.99","54.03","9.6","9.31","50.76","0","3","0.00","0.00","67.75","15.26","16.13","48.61","4.32","10.78","28.59","0","0","-","0.00","100.00","9.85","83.37","0.932","17174"
"2017-10-05 - Flyers 0, Kings 2","Philadelphia Flyers","Limited ReportFull Report","40.083333333333","40.2","39.07","50.71","33.75","30.88","52.22","23.73","18.97","55.57","0","1.93","0.00","2.04","1.8","53.21","25.31","21.36","54.23","9.21","10.53","46.66","8.06","6.81","54.19","0","1.93","0.00","0.00","71.64","15.91","10.85","59.45","5.04","6.85","42.39","0","0","-","0.00","100.00","12.6","14.11","47.17","8.67","5.2","62.50","0","0","-","0.00","100.00","0.00","89.82","0.898","18230"
"2017-10-05 - Penguins 1, Blackhawks 10","Pittsburgh Penguins","Limited ReportFull Report","46.533333333333","38.65","71.41","35.11","28.45","48.65","36.90","22.1","43.14","33.88","0","9.89","0.00","1.38","3.07","30.94","14.99","29.17","33.94","7.73","12.37","38.46","6.66","12.55","34.67","0","4.9","0.00","0.00","60.94","7.17","17","29.66","4.7","10.33","31.25","0","3.93","0.00","0.00","61.96","20.76","36.81","36.06","9.78","19.33","33.60","0","1.06","0.00","0.00","94.51","0.00","77.08","0.771","21705"
"2017-10-05 - Predators 3, Bruins 4","Nashville Predators","Limited ReportFull Report","39.15","21.89","36.93","37.21","19.29","30.14","39.02","13.4","19.72","40.46","1.01","1.93","34.36","0.94","1.31","41.91","10.02","13.03","43.46","3.07","6.76","31.24","1.98","3.86","33.91","0","0.94","0.00","0.00","75.63","6.8","6.35","51.70","3.95","3.02","56.70","1.06","0.94","52.90","26.76","68.81","10.14","21.69","31.85","7.31","12.23","37.40","0","0","-","0.00","100.00","7.55","90.20","0.977","17565"
"2017-10-05 - Wild 2, Red Wings 4","Minnesota Wild","Limited ReportFull Report","46.133333333333","42.21","38.99","51.98","33.53","32.72","50.61","28.56","22.87","55.53","2.03","1.93","51.18","2.08","1.49","58.28","22.24","17.54","55.91","10.23","7.55","57.53","10.11","4.81","67.77","1.01","0","100.00","9.99","100.00","11.91","10.05","54.24","4.03","4.96","44.84","1.02","1.89","35.12","25.36","61.92","18.59","18.17","50.58","13.37","11.14","54.55","0","0","-","0.00","100.00","7.09","91.55","0.986","19515"
