"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-05 - Wild 2, Red Wings 4","Detroit Red Wings","Limited ReportFull Report","46.133333333333","38.99","42.21","48.02","32.72","33.53","49.39","22.87","28.56","44.47","1.93","2.03","48.82","1.49","2.08","41.72","17.54","22.24","44.09","7.55","10.23","42.47","4.81","10.11","32.23","0","1.01","0.00","0.00","90.01","10.05","11.91","45.76","4.96","4.03","55.16","1.89","1.02","64.88","38.08","74.64","18.17","18.59","49.42","11.14","13.37","45.45","0","0","-","0.00","100.00","8.45","92.91","1.014","19515"
"2017-10-06 - Golden Knights 2, Stars 1","Dallas Stars","Limited ReportFull Report","36.616666666667","55","31.23","63.78","44.03","21.34","67.36","34.27","19.22","64.07","0","1.06","0.00","2.43","1.11","68.65","24.85","12.37","66.76","12.28","8.4","59.38","9.59","6.26","60.49","0","0","-","0.00","100.00","12.55","4.02","75.74","7.77","2.03","79.27","0","1.05","0.00","0.00","48.22","22.01","13.98","61.15","13","8.85","59.49","0","0","-","0.00","100.00","0.00","94.50","0.945","18532"
"2017-10-06 - Islanders 0, Blue Jackets 5","Columbus Blue Jackets","Limited ReportFull Report","54.883333333333","64.7","52.38","55.26","48.29","36.9","56.69","33.11","24.06","57.92","2.93","0","100.00","2.71","2.1","56.31","25.06","23.96","51.12","9.09","9.74","48.26","7.15","7.66","48.30","1.93","0","100.00","27.00","100.00","16.36","13.99","53.92","7.33","2.91","71.59","1","0","100.00","13.68","100.00","33.22","29.26","53.17","15.63","13.06","54.47","0","0","-","0.00","100.00","8.84","100.00","1.088","18595"
"2017-10-06 - Panthers 3, Lightning 5","Tampa Bay Lightning","Limited ReportFull Report","45.2","33.43","48.27","40.92","23.61","39.26","37.56","19.42","27.86","41.08","2.92","3.04","49.00","0.89","2.22","28.70","10.82","25.68","29.64","3.86","13.05","22.85","3.91","11.9","24.72","1.93","3.08","38.53","49.40","74.11","7.04","12.5","36.03","4.94","7.91","38.44","0.94","0","100.00","19.08","100.00","19.32","21.63","47.18","8.63","7.51","53.48","0","0","-","0.00","100.00","15.04","89.09","1.041","19092"
"2017-10-07 - Avalanche 1, Devils 4","New Jersey Devils","Limited ReportFull Report","39.916666666667","43.95","41.04","51.72","37.91","36.07","51.24","28.38","28.32","50.05","0","1.01","0.00","2.31","2.26","50.53","24.63","23.43","51.24","8.04","8.9","47.46","6.09","8.78","40.94","0","1.04","0.00","0.00","88.20","17","14.31","54.31","8.18","7.87","50.96","0","0","-","0.00","100.00","16.16","18.57","46.53","13.13","11.67","52.95","0","0","-","0.00","100.00","0.00","96.42","0.964","16514"
"2017-10-07 - Blue Jackets 1, Blackhawks 5","Chicago Blackhawks","Limited ReportFull Report","53.483333333333","37.21","43.4","46.16","25.82","34.02","43.14","23.58","28.67","45.13","3.91","1","79.57","1.19","1.62","42.36","22.86","15.46","59.65","6.14","4.92","55.50","6.22","4.85","56.21","0.98","1.02","48.89","15.71","78.92","17.16","10.3","62.49","6.13","4.82","56.00","1.92","0","100.00","31.38","100.00","11.15","26.5","29.63","10.24","18.08","36.16","1.07","0","100.00","10.43","100.00","16.59","96.50","1.131","21264"
"2017-10-07 - Canadiens 1, Capitals 6","Washington Capitals","Limited ReportFull Report","45.55","33.32","44.75","42.68","24.96","37.84","39.75","18.34","27.17","40.30","4.92","0","100.00","1.54","1.9","44.79","17.96","21.55","45.45","6.17","7.73","44.37","6.25","4.76","56.80","2.95","0","100.00","47.10","100.00","12.09","13.44","47.35","3.15","6.57","32.37","1","0","100.00","31.85","100.00","12.3","21.49","36.41","6.69","13.48","33.17","0.95","0","100.00","14.14","100.00","26.83","100.00","1.268","18506"
"2017-10-07 - Flyers 3, Ducks 2","Anaheim Ducks","Limited ReportFull Report","46.133333333333","36.03","40.84","46.87","26.57","31.43","45.81","16.98","28.14","37.63","0","2.11","0.00","1.39","1.35","50.61","21.49","19.04","53.02","6.54","4.31","60.27","3.78","3.22","54.02","0","1.06","0.00","0.00","67.14","14.86","14.65","50.36","6.54","8.27","44.16","0","1.05","0.00","0.00","87.28","13.41","20.9","39.09","6.73","16.57","28.88","0","0","-","0.00","100.00","0.00","92.49","0.925","16032"
"2017-10-07 - Golden Knights 2, Coyotes 1","Arizona Coyotes","Limited ReportFull Report","44.166666666667","44.37","53.76","45.22","31.55","37.97","45.38","23.43","24.44","48.94","0.94","0","100.00","2.19","2.07","51.43","27.65","28.03","49.66","7.85","11.16","41.31","4.98","5.02","49.81","0.94","0","100.00","18.90","100.00","20.06","16.66","54.64","13.83","6.04","69.59","0","0","-","0.00","100.00","11.72","20.83","35.99","3.23","12.27","20.83","0","0","-","0.00","100.00","4.03","100.00","1.040","17125"
"2017-10-07 - Jets 3, Flames 6","Calgary Flames","Limited ReportFull Report","44.366666666667","52.6","39.16","57.33","38.95","29.28","57.08","30.78","19.56","61.14","2.93","1.08","73.11","2.25","1.35","62.49","22.78","16.79","57.56","9.64","7.54","56.10","8.69","6.44","57.45","0.99","1.08","47.78","11.39","83.19","13.27","9.24","58.97","9.02","2.95","75.36","0.98","0","100.00","10.83","100.00","24.13","18.57","56.51","11.72","8.12","59.07","0.88","0","100.00","7.54","100.00","9.51","94.50","1.040","19289"
"2017-10-07 - Kings 4, Sharks 1","San Jose Sharks","Limited ReportFull Report","38.033333333333","33.19","40.6","44.98","24.69","31.47","43.97","19.59","28.25","40.94","0.92","4.24","17.90","1.42","2.28","38.50","13.48","25.17","34.87","6.28","12.22","33.97","5.38","10","34.97","0.92","1.07","46.16","17.07","89.30","7.06","13.08","35.04","3.62","9.53","27.52","0","2.09","0.00","0.00","78.05","14.3","9.86","59.20","7.57","7.77","49.33","0","1.05","0.00","0.00","86.44","4.72","85.00","0.897","17562"
"2017-10-07 - Lightning 4, Panthers 5","Florida Panthers","Limited ReportFull Report","40.016666666667","51.15","28.98","63.84","41.08","24.66","62.49","33.82","16.51","67.19","3.78","3.13","54.72","2.36","1.41","62.57","28.64","16.73","63.13","9.93","4.16","70.48","9.99","2.09","82.72","1.91","1.04","64.81","19.09","50.40","18.59","12.58","59.64","12.42","7.25","63.15","1.91","2.1","47.57","15.37","70.98","21.49","11.47","65.20","10.24","7.15","58.86","0","0","-","0.00","100.00","11.17","81.06","0.922","16871"
"2017-10-07 - Oilers 2, Canucks 3","Vancouver Canucks","Limited ReportFull Report","38.233333333333","25.46","44.34","36.48","21.02","35.5","37.19","12.63","23.87","34.60","1.93","1.06","64.65","1.32","1.74","43.13","13.06","27.48","32.21","8.97","7.92","53.10","6.02","5.86","50.67","1.93","0","100.00","32.07","100.00","4.03","19.18","17.36","1.03","10.94","8.57","0","1.05","0.00","0.00","90.39","9.94","15.3","39.39","5.66","7.34","43.54","0","0","-","0.00","100.00","15.30","95.57","1.109","18865"
"2017-10-07 - Predators 0, Penguins 4","Pittsburgh Penguins","Limited ReportFull Report","40.7","42.53","38.28","52.63","34.23","28.82","54.29","28.86","15.83","64.57","3.91","0","100.00","2.11","1.31","61.70","16.55","17.41","48.75","5.04","5.03","50.06","5.1","2.96","63.30","0.99","0","100.00","19.41","100.00","11.84","12","49.65","9.35","6.71","58.23","1.92","0","100.00","20.58","100.00","22.17","18.7","54.24","12.41","5.24","70.32","1.06","0","100.00","8.55","100.00","13.56","100.00","1.136","18645"
"2017-10-07 - Rangers 5, Maple Leafs 8","Toronto Maple Leafs","Limited ReportFull Report","46.283333333333","57.34","45.88","55.55","42.25","41.01","50.75","28.82","27.73","50.96","4.81","2.02","70.40","2.61","2.14","54.91","33.38","20.57","61.86","9.72","10.05","49.18","7.85","8.94","46.77","3.8","1.01","79.01","48.41","88.70","24.15","10.38","69.94","11.2","5.01","69.10","0","0","-","0.00","100.00","19.6","22.11","46.99","8.42","12.5","40.24","1.07","0.94","53.24","12.69","92.50","16.70","92.71","1.094","19621"
"2017-10-07 - Red Wings 2, Senators 1","Ottawa Senators","Limited ReportFull Report","41.533333333333","39.51","55.65","41.52","34.65","31.99","51.99","24.11","21.59","52.75","0.92","1.06","46.65","1.78","1.3","57.80","15.17","16.77","47.49","9.3","6.39","59.26","7.51","3.16","70.37","0.92","0","100.00","12.23","100.00","5.79","10.34","35.90","3.89","3.09","55.73","0","1.05","0.00","0.00","65.91","22.36","30.72","42.13","10.76","13.18","44.95","0","0","-","0.00","100.00","3.83","95.11","0.989","14883"
"2017-10-07 - Sabres 3, Islanders 6","New York Islanders","Limited ReportFull Report","45.3","44.16","29.31","60.10","33.88","20.39","62.42","26.43","14.05","65.29","2.92","1","74.44","2.31","1.01","69.54","20.52","15.4","57.13","13.2","7.79","62.90","12.33","1.9","86.64","1.94","1.02","65.51","15.75","46.26","7.21","7.6","48.69","6.01","3.98","60.16","0.95","0","100.00","15.76","100.00","16.32","11.75","58.14","5.54","7.93","41.15","0","0","-","0.00","100.00","11.07","92.85","1.039","15234"
"2017-10-07 - Stars 2, Blues 4","St Louis Blues","Limited ReportFull Report","46.733333333333","34.13","32.47","51.24","23.21","21.93","51.42","17.88","21.08","45.90","2.92","1","74.39","1.13","1.03","52.30","12.28","14.39","46.05","5.05","4.88","50.86","4.07","4.8","45.87","0.96","1.02","48.54","23.70","78.71","7.31","9.29","44.04","4","6.64","37.58","1.89","0","100.00","47.24","100.00","18.47","11.45","61.74","10.05","8.6","53.89","0","0","-","0.00","100.00","16.32","95.24","1.116","18858"
"2017-10-07 - Wild 4, Hurricanes 5","Carolina Hurricanes","Limited ReportFull Report","45.95","54.63","42.65","56.16","43.85","30.84","58.71","28.09","21.24","56.95","2.79","2.13","56.69","1.89","2.28","45.23","25.83","25.75","50.07","12.71","14.12","47.37","6.31","9.68","39.44","1.84","2.14","46.17","29.11","77.89","12.93","11.8","52.29","7.6","4.24","64.17","0.95","0","100.00","12.48","100.00","22.41","13.73","62.01","13.28","7.45","64.08","0","0","-","0.00","100.00","9.93","89.96","0.999","18680"
"2017-10-08 - Canadiens 0, Rangers 2","New York Rangers","Limited ReportFull Report","49.333333333333","26.44","54.39","32.71","21.17","39.47","34.91","17.12","28.45","37.57","1.93","0","100.00","1.17","1.97","37.28","14.62","27.21","34.96","7.6","12.27","38.26","5.74","7.98","41.84","0.94","0","100.00","16.41","100.00","7.04","14.78","32.28","4.93","7.04","41.19","0","0","-","0.00","100.00","7.45","21.3","25.90","5.35","11.57","31.62","1.06","0","100.00","19.85","100.00","11.28","100.00","1.113","18006"
"2017-10-09 - Avalanche 4, Bruins 0","Boston Bruins","Limited ReportFull Report","49.7","42.08","41.33","50.45","33.42","32.79","50.48","21","22.47","48.31","0","2.11","0.00","2.07","2.14","49.14","17.37","21.43","44.76","9.48","10.32","47.89","8.58","8.03","51.65","0","0","-","0.00","100.00","7.64","11.33","40.28","2.71","7.61","26.25","0","1.05","0.00","0.00","86.18","20.74","19.52","51.52","9.45","6.91","57.76","0","1.12","0.00","0.00","83.84","0.00","90.63","0.906","17565"
"2017-10-09 - Blackhawks 3, Maple Leafs 4","Toronto Maple Leafs","Limited ReportFull Report","38.85","43.85","30.26","59.17","34.65","20.95","62.32","25.08","13.14","65.62","1.9","2.13","47.15","2.86","1.36","67.75","31.98","13.45","70.40","10.47","3.37","75.68","6.98","2.23","75.82","0","1.08","0.00","0.00","51.41","21.13","10.31","67.22","14.71","6.56","69.16","2.06","0","100.00","13.98","100.00","11.55","12.15","48.74","3.58","3.22","52.69","0","1.05","0.00","0.00","67.24","7.59","83.77","0.914","19456"
"2017-10-09 - Blues 3, Islanders 2","New York Islanders","Limited ReportFull Report","40.066666666667","37.96","37.73","50.15","29.99","28.94","50.89","23.74","24.51","49.20","0.95","1.06","47.38","1.57","1.43","52.39","15.28","23.84","39.06","6.15","6.51","48.58","6.16","6.46","48.79","0","0","-","0.00","100.00","9.05","17.5","34.09","5.6","10.63","34.52","1.03","1.05","49.42","18.34","90.10","18.38","12.67","59.21","9.19","7.41","55.35","0","0","-","0.00","100.00","4.01","95.69","0.997","10673"
"2017-10-09 - Capitals 3, Lightning 4","Tampa Bay Lightning","Limited ReportFull Report","45.983333333333","54.96","35.02","61.08","44.38","23.34","65.53","24.96","15.71","61.38","2.83","1.06","72.79","2.25","1.04","68.28","29.19","16.22","64.29","10.86","6.52","62.49","5.48","4.29","56.07","0.93","0","100.00","16.96","100.00","18.06","9.8","64.84","9.24","4.16","68.97","1.99","1.05","65.40","21.52","74.70","25.05","15.65","61.54","10.31","6.26","62.23","0","0","-","0.00","100.00","11.32","93.28","1.046","19092"
"2017-10-09 - Devils 6, Sabres 2","Buffalo Sabres","Limited ReportFull Report","44.9","30.31","47.44","38.99","22.29","36","38.24","17.37","27.01","39.14","0.92","5.35","14.64","0.9","2.68","25.09","9.39","24.87","27.41","3.34","15.87","17.37","3.31","14.68","18.41","0.91","5.4","14.40","27.39","63.25","5.92","9.28","38.95","2.66","5.6","32.22","0","0","-","0.00","100.00","16.04","13.49","54.31","9.59","5.7","62.72","0","0","-","0.00","100.00","5.28","80.20","0.855","17697"
"2017-10-09 - Flames 2, Ducks 0","Anaheim Ducks","Limited ReportFull Report","42.766666666667","44.79","57.76","43.68","35.77","42.56","45.67","27.39","24.32","52.97","0","1.08","0.00","1.79","2.34","43.28","17.59","25.89","40.45","7.36","9.85","42.77","5.54","4.37","55.89","0","0","-","0.00","100.00","10.1","16.12","38.51","5.65","6.26","47.44","0","1.04","0.00","0.00","83.39","24.49","29.72","45.18","15.33","12.67","54.75","0","0","-","0.00","100.00","0.00","95.57","0.956","15485"
"2017-10-09 - Jets 5, Oilers 2","Edmonton Oilers","Limited ReportFull Report","48.633333333333","49.71","62.74","44.21","36.52","45.45","44.56","26.85","40.75","39.72","1.87","4.27","30.54","1.78","2.26","44.02","22.22","31.97","41.00","7.05","8.84","44.37","6.19","6.62","48.34","0.92","1.06","46.44","14.82","84.00","14.86","23.48","38.77","5.44","13.98","28.02","1.03","3.13","24.72","18.89","77.61","21.91","20.28","51.93","12.35","14.68","45.69","0","0","-","0.00","100.00","6.98","89.53","0.965","18347"
"2017-10-10 - Blackhawks 3, Canadiens 1","Montreal Canadiens","Limited ReportFull Report","44.516666666667","54.89","40.77","57.38","36.5","32.01","53.28","25.6","22.43","53.30","0.94","2.07","31.33","2.01","1.38","59.21","24.14","12.7","65.53","10.34","3.26","76.03","7.67","3.24","70.30","0","1.06","0.00","0.00","67.33","13.6","9.45","59.01","8.43","8.35","50.25","0","1.06","0.00","0.00","87.33","23.55","24.62","48.89","9.36","9.88","48.63","0.95","0","100.00","10.11","100.00","3.69","90.78","0.945","21302"
"2017-10-10 - Blue Jackets 2, Hurricanes 1","Carolina Hurricanes","Limited ReportFull Report","48.866666666667","45.8","41.55","52.44","31.47","30.13","51.09","24.88","21.65","53.47","0","1.06","0.00","1.54","1.66","47.99","19.7","14.79","57.12","7.37","3.2","69.77","4.61","2.11","68.63","0","0","-","0.00","100.00","12.3","11.55","51.58","5.79","5.14","52.94","0","1.05","0.00","0.00","79.55","24.06","23.72","50.36","14.53","13.27","52.27","0","0","-","0.00","100.00","0.00","95.12","0.951","7892"
"2017-10-10 - Blues 3, Rangers 1","New York Rangers","Limited ReportFull Report","45.783333333333","42.63","33.82","55.76","28.4","25.01","53.17","22.16","18.38","54.67","0","1.06","0.00","1.66","1.19","58.29","19.92","12.04","62.32","10.65","4.42","70.68","8.04","3.28","71.02","0","1.06","0.00","0.00","67.74","9.07","7.74","53.94","1.86","4.29","30.23","0","0","-","0.00","100.00","18.34","16.29","52.97","11.22","9.74","53.54","0","0","-","0.00","100.00","0.00","94.25","0.943","18006"
"2017-10-10 - Coyotes 2, Golden Knights 5","Vegas Golden Knights","Limited ReportFull Report","49.933333333333","49.62","42.58","53.82","34.49","32.65","51.37","26.91","24.62","52.22","3.91","2.01","66.08","1.21","1.54","44.02","17.74","17.97","49.67","4.11","7.73","34.73","3.12","4.76","39.64","0.96","1.02","48.54","30.87","78.50","13.97","10.08","58.09","10.43","5.64","64.92","1.95","0","100.00","18.70","100.00","25.75","20.74","55.39","12.48","12.69","49.58","1.06","0.94","53.07","8.51","92.60","14.54","91.84","1.064","18191"
"2017-10-10 - Flyers 5, Predators 6","Nashville Predators","Limited ReportFull Report","47.166666666667","48.07","34.12","58.49","37.78","26.53","58.75","24.19","22.58","51.72","1.94","3.08","38.68","2.54","1.31","65.94","20.8","15.05","58.02","12.14","6.18","66.27","11.37","6.12","65.01","0.99","2.09","32.10","8.71","65.76","8.55","8.74","49.45","2.83","4.91","36.53","0","1","0.00","0.00","79.69","22.62","14.36","61.16","9.91","11.48","46.33","0.88","0","100.00","8.91","100.00","8.02","86.38","0.944","17194"
"2017-10-10 - Red Wings 2, Stars 4","Dallas Stars","Limited ReportFull Report","43.25","51.26","40.17","56.06","34.18","27.65","55.28","19.46","16.12","54.69","1.93","1.01","65.57","1.59","1.39","53.39","23.15","18.65","55.39","8.83","6.1","59.15","4.86","4.97","49.42","0.99","0","100.00","20.39","100.00","14.58","12.23","54.38","4.05","3.93","50.75","0","0","-","0.00","100.00","21.17","18.57","53.28","7.47","7.14","51.11","0.95","0.93","50.39","12.67","86.96","9.93","93.71","1.036","18119"
"2017-10-10 - Senators 3, Canucks 2","Vancouver Canucks","Limited ReportFull Report","45.833333333333","36.02","48.6","42.56","29.24","43.77","40.05","18.65","34.58","35.04","1.87","2.07","47.45","1.09","1.96","35.82","10.4","18.72","35.73","3.74","10.58","26.11","2.84","10.47","21.32","0","1.01","0.00","0.00","90.36","6.62","8.16","44.81","2.9","1.03","73.80","0","0","-","0.00","100.00","22.64","23.86","48.69","12.02","17.79","40.31","1.84","1.05","63.53","15.27","94.08","10.01","94.02","1.040","17273"
"2017-10-11 - Bruins 3, Avalanche 6","Colorado Avalanche","Limited ReportFull Report","43.633333333333","41.76","36.25","53.53","29.74","23.56","55.80","24.77","14.06","63.78","2.87","2.02","58.77","1.44","1.06","57.65","18.14","13.47","57.38","4.9","4.87","50.15","4.96","3.8","56.59","0.94","1.02","47.94","18.99","73.13","13.48","8.47","61.43","9.1","2.01","81.95","1.92","0","100.00","21.14","100.00","17.84","19.64","47.60","9.56","7.23","56.91","0","0.94","0.00","0.00","87.03","11.60","85.67","0.973","18011"
"2017-10-11 - Devils 6, Maple Leafs 3","Toronto Maple Leafs","Limited ReportFull Report","38.466666666667","42.83","34.08","55.68","33.4","28.37","54.07","26.54","18.45","59.00","0.92","4.17","18.15","2.52","1.81","58.13","29.43","20.77","58.63","9.67","8.8","52.35","7.88","4.41","64.12","0.92","0","100.00","11.66","100.00","19.57","12.05","61.89","11.95","7.45","61.59","0","2.02","0.00","0.00","72.84","12.75","11.15","53.36","6.71","5.48","55.06","0","2.05","0.00","0.00","62.49","3.48","77.42","0.809","19103"
"2017-10-11 - Flames 4, Kings 3","Los Angeles Kings","Limited ReportFull Report","40.766666666667","48.88","41.4","54.14","39.71","33.58","54.18","30.49","26.88","53.14","2.82","2.09","57.45","2.25","1.79","55.76","27.8","19.68","58.55","10.87","8.9","54.98","5.59","7.83","41.65","1.86","1.08","63.21","33.28","86.17","16.8","10.9","60.64","10.48","6.35","62.26","0","1.06","0.00","0.00","83.34","20.24","15.13","57.22","13.48","9.48","58.70","0.88","0","100.00","6.55","100.00","9.24","92.23","1.015","18230"
"2017-10-11 - Islanders 2, Ducks 3","Anaheim Ducks","Limited ReportFull Report","40.566666666667","37.71","52.36","41.87","29.18","37.27","43.91","21.98","26.4","45.44","2.88","2.03","58.67","1.49","2.66","35.90","17.73","31.2","36.24","8.61","15.35","35.94","7.69","12.08","38.90","1.88","1.01","65.08","24.48","91.64","9.19","15.69","36.95","4.96","11.05","30.98","0","1.02","0.00","0.00","90.75","17.65","17.11","50.79","8.25","3.78","68.56","1.06","0","100.00","12.87","100.00","13.08","92.33","1.054","14553"
"2017-10-11 - Penguins 3, Capitals 2","Washington Capitals","Limited ReportFull Report","39.983333333333","38.68","48.17","44.53","26.68","34.25","43.79","14.27","28.46","33.40","1.9","0","100.00","1.23","2.71","31.12","23.15","32.34","41.72","6.1","16.81","26.62","4.34","14.53","23.01","0.93","0","100.00","21.40","100.00","16.8","15.95","51.29","6.46","6.46","50.00","0","0","-","0.00","100.00","14.1","12.11","53.81","3.49","7.63","31.40","0.88","0","100.00","25.28","100.00","13.33","100.00","1.133","18506"
"2017-10-12 - Blues 2, Panthers 5","Florida Panthers","Limited ReportFull Report","42.683333333333","38.86","35.54","52.23","32.32","25.2","56.19","27.26","20.28","57.34","2.91","1","74.31","1.41","1.49","48.76","16.37","13.05","55.65","5.03","6.31","44.31","4.15","5.19","44.42","1.94","0","100.00","46.81","100.00","11.59","6.63","63.60","9.28","6.82","57.65","0","0","-","0.00","100.00","19.85","19.61","50.31","13.83","8.16","62.89","0.89","0.94","48.64","6.43","88.49","10.66","95.05","1.057","10846"
