"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-04 - Blues 5, Penguins 4","Pittsburgh Penguins","Limited ReportFull Report","46.366666666667","53.06","52.04","50.48","39.57","40.97","49.13","26.22","28.79","47.66","2.79","2.09","57.21","2.4","2.47","49.23","23.93","27.08","46.92","9.01","11.93","43.02","3.67","9.62","27.60","0","1.01","0.00","0.00","89.50","14.83","15.39","49.07","6.67","8.42","44.21","0","1.04","0.00","0.00","87.65","25.48","22.93","52.63","12.96","11.03","54.02","2.72","0","100.00","21.03","100.00","10.65","92.75","1.034","18652"
"2017-10-04 - Flames 0, Oilers 3","Edmonton Oilers","Limited ReportFull Report","52.95","73.02","50.82","58.96","58.17","36.24","61.61","41.88","23.44","64.11","1.93","0","100.00","3.48","1.82","65.64","28.81","20.22","58.76","17.68","9.27","65.59","13.84","7.13","66.01","1.93","0","100.00","13.95","100.00","11.13","10.81","50.73","4.96","4.01","55.32","0","0","-","0.00","100.00","37.43","19.65","65.57","23.4","8.31","73.80","0","0","-","0.00","100.00","4.61","100.00","1.046","18347"
"2017-10-04 - Flyers 5, Sharks 3","San Jose Sharks","Limited ReportFull Report","46.266666666667","44.18","47.96","47.95","34.44","32.83","51.19","23.47","21.07","52.68","0.95","1.06","47.38","2.1","2.18","49.14","16.6","29.11","36.32","8.13","12.06","40.26","3.65","5.53","39.76","0.93","0","100.00","25.48","100.00","8.4","17.17","32.86","3.82","8.32","31.46","0","1.05","0.00","0.00","87.35","24.88","15.78","61.19","15.96","7.23","68.82","0","0","-","0.00","100.00","4.05","94.99","0.990","17562"
"2017-10-04 - Maple Leafs 7, Jets 2","Winnipeg Jets","Limited ReportFull Report","39.133333333333","32.76","42.1","43.76","21.23","26.94","44.07","15.86","19.06","45.41","1.83","5.37","25.45","1.35","1.54","46.65","13.85","22.58","38.01","6.8","7.96","46.08","6.78","6.78","50.03","1.82","2.18","45.39","26.77","67.76","6.89","14.78","31.80","2.82","6.49","30.31","0","2.08","0.00","0.00","67.95","13.88","14.57","48.79","5.19","4.74","52.31","0","1.12","0.00","0.00","76.42","11.56","71.81","0.834","15321"
"2017-10-05 - Avalanche 4, Rangers 2","New York Rangers","Limited ReportFull Report","41.083333333333","35.81","33.37","51.76","25.49","25.71","49.79","17.47","18.09","49.13","0","2.11","0.00","1.58","1.84","46.17","20.64","20.34","50.36","8.91","10.87","45.02","5.36","7.5","41.69","0","1.06","0.00","0.00","85.88","11.44","9.56","54.48","5.59","4.16","57.34","0","1.05","0.00","0.00","74.70","11.8","9.89","54.41","5.52","5.56","49.82","0","0","-","0.00","100.00","0.00","88.32","0.883","18006"
"2017-10-05 - Canadiens 3, Sabres 2","Buffalo Sabres","Limited ReportFull Report","43.283333333333","42.36","38.45","52.42","38.86","29.76","56.63","31.77","25.72","55.26","0.94","1.01","48.26","1.85","1.64","53.11","16.76","17.35","49.14","5.98","10.15","37.08","5.04","8.98","35.95","0","0","-","0.00","100.00","10.91","7.18","60.30","5.91","3.06","65.87","0","0","-","0.00","100.00","25.38","17.45","59.26","21.35","12.55","62.99","0.95","0.94","50.21","4.43","92.52","2.97","96.07","0.990","19070"
"2017-10-05 - Capitals 5, Senators 4","Ottawa Senators","Limited ReportFull Report","50","39.04","48.63","44.53","28.81","31.91","47.44","21.89","19.74","52.58","3.82","4.05","48.54","1.34","1.64","44.89","17.55","25.57","40.71","4.8","7.27","39.76","1.95","4.09","32.34","0.99","0","100.00","50.64","100.00","12.9","18.05","41.68","8.85","7.04","55.67","1.9","4.2","31.12","21.44","40.41","21.16","17.9","54.18","11.12","6.83","61.97","0.95","0","100.00","8.51","100.00","17.45","79.49","0.969","17009"
"2017-10-05 - Coyotes 4, Ducks 5","Anaheim Ducks","Limited ReportFull Report","45.116666666667","41.96","46.01","47.70","36","31.47","53.35","28.18","21.66","56.55","4.69","2.13","68.73","1.83","1.78","50.63","24.15","27.37","46.88","7.87","8.83","47.12","7","6.62","51.40","1.83","2.14","46.03","26.07","67.67","15.99","18.79","45.97","9.31","9.6","49.24","3","0","100.00","32.25","100.00","16.13","15.26","51.39","10.78","4.32","71.41","0","0","-","0.00","100.00","16.63","90.15","1.068","17174"
"2017-10-05 - Flyers 0, Kings 2","Los Angeles Kings","Limited ReportFull Report","40.083333333333","39.07","40.2","49.29","30.88","33.75","47.78","18.97","23.73","44.43","1.93","0","100.00","1.8","2.04","46.79","21.36","25.31","45.77","10.53","9.21","53.34","6.81","8.06","45.81","1.93","0","100.00","28.36","100.00","10.85","15.91","40.55","6.85","5.04","57.61","0","0","-","0.00","100.00","14.11","12.6","52.83","5.2","8.67","37.50","0","0","-","0.00","100.00","10.18","100.00","1.102","18230"
"2017-10-05 - Penguins 1, Blackhawks 10","Chicago Blackhawks","Limited ReportFull Report","46.533333333333","71.41","38.65","64.89","48.65","28.45","63.10","43.14","22.1","66.12","9.89","0","100.00","3.07","1.38","69.06","29.17","14.99","66.06","12.37","7.73","61.54","12.55","6.66","65.33","4.9","0","100.00","39.06","100.00","17","7.17","70.34","10.33","4.7","68.75","3.93","0","100.00","38.04","100.00","36.81","20.76","63.94","19.33","9.78","66.40","1.06","0","100.00","5.49","100.00","22.92","100.00","1.229","21705"
"2017-10-05 - Predators 3, Bruins 4","Boston Bruins","Limited ReportFull Report","39.15","36.93","21.89","62.79","30.14","19.29","60.98","19.72","13.4","59.54","1.93","1.01","65.64","1.31","0.94","58.09","13.03","10.02","56.54","6.76","3.07","68.76","3.86","1.98","66.09","0.94","0","100.00","24.37","100.00","6.35","6.8","48.30","3.02","3.95","43.30","0.94","1.06","47.10","31.19","73.24","21.69","10.14","68.15","12.23","7.31","62.60","0","0","-","0.00","100.00","9.80","92.45","1.023","17565"
