"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-03-27 - Blue Jackets 1, Red Wings 3","Columbus Blue Jackets","Limited ReportFull Report","45.533333333333","32.37","54.77","37.14","25.52","40.57","38.61","18.05","29.18","38.21","1.01","2.92","25.78","1.53","2.3","40.07","17.5","22.92","43.30","7.92","9.87","44.53","4.89","8.03","37.85","1.04","1.93","34.91","21.18","75.94","9.41","13.16","41.69","4.93","6.99","41.35","0","0","-","0.00","100.00","13.76","29.15","32.06","8.18","13.33","38.02","0","1.06","0.00","0.00","92.03","5.62","89.99","0.956","0"
"2021-03-27 - Golden Knights 3, Avalanche 2","Vegas Golden Knights","Limited ReportFull Report","48.1","37.02","37.21","49.87","28.16","21","57.29","19.03","14.96","55.99","1.01","1.89","34.89","1.63","0.93","63.79","19.55","18.45","51.45","7.33","2.8","72.33","6.2","2.84","68.59","1.01","0","100.00","16.30","100.00","12.12","15.86","43.33","7.07","7.87","47.32","0","1.9","0.00","0.00","75.92","13.89","17.39","44.40","5.07","4.13","55.13","0","0","-","0.00","100.00","5.31","87.38","0.927","0"
"2021-03-27 - Islanders 3, Penguins 6","New York Islanders","Limited ReportFull Report","47.4","30.76","37.38","45.15","27.78","23.84","53.82","23.13","17.23","57.31","2.01","2.93","40.69","1.68","1.46","53.63","11.39","19.91","36.38","6.8","7.14","48.79","6.7","5.14","56.57","2.04","1.92","51.58","30.53","62.67","4.59","13.03","26.05","3.86","5.17","42.72","0","0.94","0.00","0.00","81.78","18","12.44","59.14","12.23","5.76","67.98","0","0","-","0.00","100.00","8.68","83.00","0.917","2800"
"2021-03-27 - Jets 2, Flames 4","Winnipeg Jets","Limited ReportFull Report","48.8","27.72","51.91","34.81","22.2","42.67","34.22","15.13","28.92","34.35","2.03","2.88","41.33","1.07","1.96","35.19","13.25","20.42","39.36","5.33","6.68","44.35","4.22","6.76","38.39","0","0.94","0.00","0.00","86.08","7.82","13.86","36.08","4.01","8.9","31.06","2.08","0","100.00","51.91","100.00","12.84","29.21","30.53","5.99","12.16","33.01","0","2.01","0.00","0.00","83.49","13.38","90.06","1.034","0"
"2021-03-27 - Lightning 3, Hurricanes 4","Tampa Bay Lightning","Limited ReportFull Report","42.25","43.99","36.02","54.98","33.36","30.6","52.16","18.57","23.4","44.25","3.14","1.87","62.64","2.19","1.82","54.57","21.06","20.21","51.03","11.46","5.43","67.86","6.13","2.7","69.42","3.15","1.85","63.04","51.38","31.61","9.77","14.68","39.97","5.3","10.37","33.82","0","0","-","0.00","100.00","17.77","10.15","63.66","7.19","5.69","55.82","0","0","-","0.00","100.00","16.93","91.99","1.089","4433"
"2021-03-27 - Oilers 3, Maple Leafs 4","Edmonton Oilers","Limited ReportFull Report","53.9","37.21","42.76","46.53","24.21","30.97","43.88","18.95","21.65","46.68","3.14","2.82","52.73","0.86","1.54","36.02","13.93","23.25","37.48","2.18","6.36","25.55","2.17","4.59","32.06","1.08","2.79","27.95","49.92","39.28","11.79","16.88","41.11","6.27","10.41","37.61","1.06","0","100.00","16.86","100.00","22.22","18.56","54.48","10.55","5.78","64.60","1.05","0","100.00","9.99","100.00","16.59","86.98","1.036","0"
"2021-03-27 - Panthers 4, Stars 3","Florida Panthers","Limited ReportFull Report","47.866666666667","42.28","46.6","47.57","29.57","34.31","46.29","18.89","23.91","44.14","1.06","2.79","27.46","1.48","1.59","48.18","20.32","19.98","50.42","5.53","6.49","46.02","3.28","4.67","41.26","0","0.92","0.00","0.00","80.35","14.73","13.55","52.09","6.21","8.72","41.60","1.05","0.96","52.27","16.93","88.99","15.78","22.67","41.04","8.37","9.51","46.82","0","0.95","0.00","0.00","90.05","5.59","88.33","0.939","4209"
"2021-03-27 - Predators 3, Blackhawks 1","Nashville Predators","Limited ReportFull Report","53.233333333333","55.43","40.94","57.52","40.64","29.18","58.20","33.9","23.19","59.38","3.21","0.95","77.14","2.51","2.06","55.00","34.19","21.23","61.70","12.25","9.67","55.89","8.87","7.04","55.73","2.14","0.93","69.73","24.14","86.81","22.32","11.26","66.47","16.1","7.35","68.66","1.04","0","100.00","6.46","100.00","18.71","17.54","51.61","7.76","6.99","52.61","0","0","-","0.00","100.00","9.47","95.90","1.054","0"
"2021-03-27 - Rangers 1, Flyers 2","New York Rangers","Limited ReportFull Report","46.366666666667","34.75","47.09","42.46","27.44","37.78","42.07","19.92","28.51","41.13","0","0.94","0.00","1.15","1.62","41.50","14.8","17.63","45.64","3.19","5.5","36.65","3.16","4.61","40.65","0","0","-","0.00","100.00","11.6","12.05","49.05","5.27","6.71","43.99","0","0","-","0.00","100.00","16.97","28.52","37.31","10.4","17.23","37.65","0","0.95","0.00","0.00","94.51","0.00","96.69","0.967","3069"
"2021-03-27 - Sabres 2, Bruins 3","Buffalo Sabres","Limited ReportFull Report","44.833333333333","39.3","42.23","48.20","31.47","34.27","47.87","21.59","25.99","45.38","1.06","1.87","36.13","1.35","1.6","45.73","16.41","19.19","46.09","6.6","7.22","47.76","5.51","5.44","50.32","1.06","1.86","36.28","19.22","65.81","9.98","11.8","45.83","3.21","8.48","27.48","0","0","-","0.00","100.00","21.65","22.25","49.32","11.85","11.14","51.55","0","0","-","0.00","100.00","4.89","92.81","0.977","2191"
"2021-03-27 - Sharks 0, Coyotes 4","San Jose Sharks","Limited ReportFull Report","42.483333333333","45.48","32.76","58.13","35.31","25.25","58.30","22.54","17.07","56.90","0","1.93","0.00","1.95","1.36","58.86","25.22","16.9","59.87","6.04","6.77","47.14","4.03","4.89","45.21","0","1.91","0.00","0.00","61.02","18.95","10.26","64.87","8.09","3.94","67.24","0","0","-","0.00","100.00","19.88","15.37","56.40","10.19","8.27","55.19","0","0","-","0.00","100.00","0.00","88.70","0.887","3217"
"2021-03-28 - Blue Jackets 1, Red Wings 4","Columbus Blue Jackets","Limited ReportFull Report","50.416666666667","40.84","49.22","45.34","22.47","36.52","38.09","16.54","24.4","40.40","1.01","1.89","34.89","1.06","2.41","30.51","17.08","23.74","41.84","8.05","13.77","36.88","5.97","9.96","37.47","1.01","0.94","51.76","16.92","90.55","8.96","10","47.25","2.01","4.91","29.01","0","0.95","0.00","0.00","80.69","19.23","20.68","48.19","7.57","6.28","54.65","0","0","-","0.00","100.00","6.12","92.27","0.984","0"
"2021-03-28 - Devils 1, Bruins 0","New Jersey Devils","Limited ReportFull Report","41.316666666667","39.6","40.86","49.22","29.77","32.97","47.45","22.17","26.64","45.42","1.06","0","100.00","1.19","1.05","53.13","12.86","12.76","50.21","4.36","3.69","54.21","2.17","2.78","43.82","1.06","0","100.00","48.84","100.00","8.53","8.9","48.93","5.19","5.61","48.02","0","0","-","0.00","100.00","24.56","27.34","47.32","13.79","17.25","44.43","0","0","-","0.00","100.00","4.77","100.00","1.048","2191"
"2021-03-28 - Ducks 3, Blues 2","Anaheim Ducks","Limited ReportFull Report","53.9","39.43","53.29","42.53","28.48","39.81","41.70","21.56","33.79","38.95","2.03","0.94","68.22","1.51","1.97","43.28","17.03","25.55","40.00","8.17","6.79","54.59","4.01","4.92","44.92","2.05","0.94","68.48","51.01","80.86","8.8","19.03","31.62","8.02","10.89","42.40","0","0","-","0.00","100.00","16.27","23.05","41.38","8.65","16.25","34.74","0","0","-","0.00","100.00","9.39","97.21","1.066","0"
"2021-03-28 - Panthers 4, Stars 1","Florida Panthers","Limited ReportFull Report","44.9","32.44","38.39","45.80","23.09","26.18","46.87","18.47","19.38","48.80","1.01","0","100.00","1.44","1.47","49.35","18.79","17.47","51.81","8.98","7.82","53.44","6.71","6.08","52.48","0","0","-","0.00","100.00","9.93","9.39","51.39","5.3","2.71","66.17","1.06","0","100.00","19.97","100.00","10.23","18.78","35.25","4.51","7.69","36.96","0","0","-","0.00","100.00","5.48","100.00","1.055","4026"
"2021-03-28 - Predators 3, Blackhawks 2","Nashville Predators","Limited ReportFull Report","47.583333333333","52.98","36.98","58.89","38.95","29.49","56.91","30.86","23.38","56.89","3.19","1.87","62.98","2.09","1.15","64.41","24.47","8.94","73.23","6.69","3.57","65.21","4.43","1.77","71.42","1.08","0.92","54.10","24.42","48.23","18.1","5.24","77.56","9.76","5.51","63.90","1.05","1.03","50.58","10.78","81.35","25.87","25.65","50.21","16.8","14.15","54.27","1.05","0","100.00","6.27","100.00","10.33","91.98","1.023","0"
"2021-03-28 - Rangers 4, Capitals 5","New York Rangers","Limited ReportFull Report","45.55","40.18","33.46","54.56","24.02","28.14","46.05","17.27","20.1","46.21","3.01","4.9","38.08","1.6","1.81","46.89","21.71","20.73","51.15","8.77","10.59","45.30","5.75","6.78","45.87","3.07","2.87","51.66","53.37","57.68","12.86","10.16","55.88","4.03","6","40.16","0","1","0.00","0.00","83.29","14.19","11.15","55.99","7.48","6.18","54.75","0","1.06","0.00","0.00","82.81","17.45","75.63","0.931","0"
"2021-03-29 - Ducks 2, Avalanche 5","Anaheim Ducks","Limited ReportFull Report","45.566666666667","26.33","52.71","33.32","15.14","42.97","26.05","9.39","30.65","23.46","2.03","3.86","34.41","0.73","2.41","23.11","10.85","23.94","31.18","2.98","11.59","20.46","2.94","8.83","24.98","1.04","1.91","35.21","35.22","78.42","7.72","12.43","38.30","2.92","8.02","26.67","1.06","0.95","52.74","36.28","88.18","11.05","26.13","29.72","2.71","12.75","17.55","0","1.06","0.00","0.00","91.67","21.56","87.40","1.090","0"
"2021-03-29 - Flyers 4, Sabres 3","Philadelphia Flyers","Limited ReportFull Report","50.183333333333","50.4","44.69","53.00","37.76","33.89","52.70","27.56","29.74","48.09","2.02","2.92","40.89","1.35","1.25","51.81","18.7","17.99","50.96","5.9","7.03","45.65","4.87","6.18","44.07","1.04","0.96","51.78","21.28","84.39","12.56","11.04","53.23","4.91","7.89","38.37","1","1.89","34.55","20.32","76.03","30.07","24.24","55.37","16.19","14.82","52.21","0","0","-","0.00","100.00","7.32","90.19","0.975","0"
"2021-03-29 - Islanders 1, Penguins 2","New York Islanders","Limited ReportFull Report","49.1","33.06","38.69","46.08","24.01","28.85","45.43","20.09","19.54","50.70","0","0","-","1.53","1.33","53.50","18.66","14.96","55.50","9.96","4.99","66.63","9.83","3.03","76.46","0","0","-","0.00","100.00","8.63","10.12","46.04","3.98","5.96","40.07","0","0","-","0.00","100.00","13.06","21.33","37.97","5.48","9.6","36.36","0","0","-","0.00","100.00","0.00","100.00","1.000","2800"
"2021-03-29 - Jets 5, Flames 1","Winnipeg Jets","Limited ReportFull Report","47.416666666667","36.47","32.15","53.15","29.47","28.96","50.43","24.94","17.33","59.00","5.28","0","100.00","1.73","1.52","53.17","16.95","17.25","49.55","6.78","6.44","51.32","6.79","5.6","54.82","3.16","0","100.00","46.58","100.00","10.32","10.68","49.14","6.56","2.73","70.58","2.09","0","100.00","31.90","100.00","18.29","13.9","56.81","11.43","8.82","56.44","0","0","-","0.00","100.00","21.15","100.00","1.212","0"
"2021-03-29 - Kings 1, Golden Knights 4","Los Angeles Kings","Limited ReportFull Report","49.066666666667","46.19","40.51","53.28","32.69","27.17","54.61","22.89","17.45","56.74","1.06","2.92","26.58","2.49","2.8","47.08","22.9","23.95","48.89","13.65","13.15","50.93","10.46","10.31","50.35","1.06","1.91","35.71","10.12","81.52","9.43","10.64","46.96","3.17","4.94","39.10","0","0.94","0.00","0.00","80.93","17.02","13.49","55.78","7.36","1.8","80.38","0","0","-","0.00","100.00","4.62","83.28","0.879","3950"
"2021-03-29 - Oilers 3, Maple Leafs 2","Edmonton Oilers","Limited ReportFull Report","56","39.25","50.62","43.67","27.83","42.49","39.57","19.87","29.53","40.22","2.07","1.87","52.55","1.44","2","41.89","18.34","29.97","37.97","6.2","11.3","35.44","5.14","7.57","40.45","2.07","0.92","69.26","40.21","87.88","12.01","18.81","38.96","2.03","8.79","18.77","0","0.95","0.00","0.00","89.22","16.43","19.08","46.26","11.53","13.19","46.65","0","0","-","0.00","100.00","10.41","93.68","1.041","0"
