"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2013-10-01 - Capitals 4, Blackhawks 6","Washington Capitals","Limited ReportFull Report","45.65","32.83","42.57","43.54","20.54","30.41","40.31","15.57","25.4","38.00","1.01","3.75","21.22","1.06","1.43","42.68","14.98","19.59","43.35","2.01","7.8","20.45","1.98","6.88","22.38","0","1.86","0.00","0.00","72.96","12.75","11.9","51.72","5.01","4.96","50.26","1.06","0.95","52.74","21.10","80.90","17.27","17.49","49.68","8.49","11.58","42.30","0","0.95","0.00","0.00","91.83","6.50","85.22","0.917","22158"
"2013-10-01 - Jets 5, Oilers 4","Winnipeg Jets","Limited ReportFull Report","44.116666666667","38.15","47.36","44.62","30.58","29.54","50.86","20.76","22.64","47.84","4.14","1.89","68.68","2.66","1.42","65.21","24.27","21.2","53.38","13.41","5.73","70.05","9.17","2.9","75.97","1.06","0.94","52.92","11.54","67.54","10.76","15.59","40.83","9.02","8.78","50.68","3.13","0.95","76.77","34.73","89.20","11.62","21.89","34.68","3.04","11.04","21.61","0","0","-","0.00","100.00","19.93","91.66","1.116","16839"
"2013-10-01 - Maple Leafs 4, Canadiens 3","Toronto Maple Leafs","Limited ReportFull Report","39.166666666667","40.58","53.59","43.09","27.04","42.18","39.06","19.7","27.98","41.31","2.09","1.89","52.42","1.47","2.28","39.18","16.79","20.78","44.68","4.32","12.48","25.69","3.3","9.58","25.62","1.08","1.87","36.65","32.80","80.47","12.41","8.11","60.48","8.19","3.71","68.86","1.06","0","100.00","12.91","100.00","16.65","28.19","37.14","8.29","14.75","35.98","0","0","-","0.00","100.00","10.60","93.23","1.038","21273"
"2013-10-02 - Ducks 1, Avalanche 6","Anaheim Ducks","Limited ReportFull Report","47.85","46.4","42.54","52.17","36.66","33.59","52.19","28.16","22.81","55.25","1","2.94","25.49","1.62","1.43","53.05","19.64","16.61","54.18","7.96","5.1","60.98","6.9","5.16","57.21","1.02","1.96","34.33","14.81","62.14","11.55","11.79","49.49","3.82","3.06","55.55","0","0.95","0.00","0.00","69.00","21.62","19.04","53.18","15.11","12.59","54.53","0","0","-","0.00","100.00","3.57","87.13","0.907","18007"
"2013-10-02 - Maple Leafs 3, Flyers 1","Toronto Maple Leafs","Limited ReportFull Report","43.716666666667","33.55","42.55","44.09","26.43","27.87","48.68","21.28","16.39","56.49","2.07","0","100.00","1.17","1.43","45.18","14.58","19.18","43.20","5.14","7.32","41.24","5.08","5.56","47.77","2.07","0","100.00","40.71","100.00","9.45","11.91","44.23","3.1","3.94","44.08","0","0","-","0.00","100.00","13.97","20.26","40.81","9.78","6.73","59.23","0","0","-","0.00","100.00","9.72","100.00","1.097","19872"
"2013-10-02 - Sabres 1, Red Wings 2","Buffalo Sabres","Limited ReportFull Report","41.233333333333","18.49","45.51","28.89","13.15","37.57","25.93","10.37","28.14","26.92","1.01","1.93","34.43","0.61","1.36","31.08","8.71","19.22","31.19","2.98","4.89","37.87","2.94","4.01","42.33","1.04","0.94","52.38","35.22","76.50","5.55","14.68","27.43","2.92","10.12","22.42","0","0.94","0.00","0.00","90.69","6.56","23.5","21.83","3.62","12.98","21.79","0","0","-","0.00","100.00","9.78","93.13","1.029","20066"
"2013-10-03 - Canucks 1, Sharks 4","Vancouver Canucks","Limited ReportFull Report","38.5","46.73","43.38","51.86","35.39","30.67","53.57","17.45","21.15","45.22","0","3.84","0.00","1.59","2.22","41.74","17.18","17.92","48.94","8.55","10.32","45.31","4.27","7.52","36.24","0","0.96","0.00","0.00","87.17","8.78","7.42","54.20","4.2","2.85","59.54","0","0.94","0.00","0.00","67.00","23.45","21.79","51.83","8.8","10.68","45.19","0","1.84","0.00","0.00","82.81","0.00","81.83","0.818","17562"
"2013-10-03 - Devils 0, Penguins 3","New Jersey Devils","Limited ReportFull Report","55.416666666667","50.07","36.76","57.66","31.92","26.76","54.39","24.47","21.73","52.97","0","2.92","0.00","1.99","1.39","58.80","29.28","21.35","57.82","9.85","3.95","71.35","6.77","2.98","69.43","0","1.93","0.00","0.00","35.20","18.98","17.9","51.47","10.76","11.12","49.17","0","0.98","0.00","0.00","91.21","17.4","12.48","58.23","6.34","7.46","45.95","0","0","-","0.00","100.00","0.00","86.57","0.866","18621"
"2013-10-03 - Flames 4, Capitals 5","Calgary Flames","Limited ReportFull Report","46.483333333333","47.36","48.11","49.61","35.9","35.46","50.31","29.22","25.08","53.81","2.11","1.87","52.98","2.8","1.83","60.47","28.49","30.13","48.60","15.54","6.1","71.80","11","5.22","67.81","1.07","0.91","54.12","9.73","82.62","13.21","23.66","35.83","5.35","11.03","32.65","1.05","1.03","50.58","19.68","90.68","17.62","17.53","50.13","11.91","8.83","57.42","0","0","-","0.00","100.00","7.20","92.55","0.998","18506"
"2013-10-03 - Kings 3, Wild 2","Los Angeles Kings","Limited ReportFull Report","45.05","33.78","30.43","52.61","17.57","21.26","45.25","10.74","19.29","35.77","1.01","0.94","51.74","0.69","1.14","37.92","11.95","14.64","44.92","4.01","5.8","40.90","3.97","4.86","44.95","1.01","0.94","51.76","25.48","80.61","7.81","8.92","46.68","2.01","3.94","33.75","0","0","-","0.00","100.00","15.23","13.58","52.86","4.8","10.68","31.00","0","0","-","0.00","100.00","9.42","95.11","1.045","18511"
