"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-04-26 - Panthers 1, Predators 4","Nashville Predators","Limited ReportFull Report","50.366666666667","27.32","58.58","31.80","24.06","46.67","34.02","20.16","34.82","36.67","2.92","0","100.00","1.56","2.76","36.13","18.7","36.97","33.60","7.74","15.28","33.63","7.84","10.02","43.88","2.9","0","100.00","36.95","100.00","11.07","21.35","34.15","7.03","12.01","36.92","0","0","-","0.00","100.00","7.01","20.73","25.27","3.94","12.73","23.65","0","0","-","0.00","100.00","14.47","100.00","1.145","0"
"2021-04-27 - Bruins 3, Penguins 1","Pittsburgh Penguins","Limited ReportFull Report","49.966666666667","33.29","46.96","41.48","19.42","40.36","32.49","15.86","30.63","34.12","0.92","3.18","22.38","1.19","2.61","31.28","12.75","22.49","36.18","2.75","8.68","24.08","2.78","7.56","26.89","0","1.08","0.00","0.00","85.68","9.9","13.9","41.58","5.61","7.36","43.26","0.96","2.02","32.17","17.12","72.48","14.94","21.29","41.24","5.65","12.52","31.09","0","0","-","0.00","100.00","5.78","89.61","0.954","4672"
"2021-04-27 - Flyers 4, Devils 6","New Jersey Devils","Limited ReportFull Report","50.716666666667","38.63","49.81","43.68","31.4","38.18","45.13","22.35","26.61","45.65","2.87","4.04","41.55","1.69","2.78","37.77","20.68","28.57","41.98","8.77","11.84","42.55","6.83","8.75","43.83","0.94","2.03","31.66","13.79","76.77","12.03","16.53","42.11","5.02","6.96","41.91","0.98","1.02","48.85","19.46","85.30","15.46","20.49","43.01","10.54","10.87","49.22","0.95","0.94","50.21","8.98","91.37","12.85","84.82","0.977","3600"
"2021-04-27 - Hurricanes 5, Stars 1","Dallas Stars","Limited ReportFull Report","49.5","38.23","53.26","41.79","28.45","38.21","42.68","20.86","26.91","43.66","0.92","3.21","22.23","1.4","2.14","39.56","18.11","26.94","40.20","6.67","11.44","36.84","5.81","8.08","41.83","0.91","2.16","29.56","15.62","73.23","11.14","15.77","41.40","4.54","10.81","29.56","0","1.04","0.00","0.00","90.39","17.86","22.39","44.37","9.38","6.94","57.47","0","0","-","0.00","100.00","4.40","88.08","0.925","6014"
"2021-04-27 - Islanders 0, Capitals 1","Washington Capitals","Limited ReportFull Report","48.45","62.83","28.55","68.76","47.54","20.27","70.11","33.05","13.51","70.98","0.94","0","100.00","3.29","0.95","77.51","37.12","12.94","74.15","19.88","4.01","83.21","15.07","2.97","83.52","0.94","0","100.00","6.25","100.00","17.4","8.79","66.44","6.98","5.01","58.19","0","0","-","0.00","100.00","20.24","12.15","62.48","10.77","4.62","69.99","0","0","-","0.00","100.00","2.85","100.00","1.029","2133"
"2021-04-27 - Lightning 7, Blackhawks 4","Chicago Blackhawks","Limited ReportFull Report","40","32.45","41.18","44.07","22.82","32.61","41.17","22.06","26.84","45.11","2.82","6.38","30.64","1.43","2.79","33.96","13.86","26.99","33.93","7.75","14.73","34.47","6.93","14.73","32.01","0","4.32","0.00","0.00","70.68","5.92","12.54","32.06","2.71","7.66","26.15","1.03","1.05","49.42","37.92","86.26","17.08","13.87","55.18","12.1","4.6","72.45","1.77","1.12","61.26","14.60","75.72","12.78","76.22","0.890","0"
"2021-04-27 - Panthers 7, Predators 4","Nashville Predators","Limited ReportFull Report","47.716666666667","27.01","67.32","28.63","23.06","55.23","29.46","21.28","44.87","32.17","3.75","3.08","54.94","1.37","3.31","29.24","15.19","38.59","28.25","8.42","13.54","38.35","6.61","9.24","41.72","1.86","1.01","64.80","28.13","89.06","6.73","25","21.22","5.81","12.4","31.90","0.95","0","100.00","16.31","100.00","10.75","27.28","28.27","7.9","22.12","26.31","0.95","1.99","32.20","11.98","90.99","17.64","93.14","1.108","0"
"2021-04-27 - Red Wings 0, Blue Jackets 1","Columbus Blue Jackets","Limited ReportFull Report","52","54.29","45.34","54.49","40.66","40.25","50.25","25.27","34.95","41.96","0","0","-","2.75","3.29","45.57","31.4","23.07","57.65","11.22","12.78","46.74","6.62","10.54","38.59","0","0","-","0.00","100.00","20.28","10.34","66.22","9.71","6.17","61.15","0","0","-","0.00","100.00","17.57","16.38","51.74","8.88","14.19","38.47","0","0","-","0.00","100.00","0.00","100.00","1.000","4316"
"2021-04-27 - Sabres 1, Rangers 3","New York Rangers","Limited ReportFull Report","50.15","47.71","52.53","47.60","41.3","40","50.80","33.4","32.87","50.40","1.89","0","100.00","2.52","3.25","43.72","22.74","28.68","44.23","12.87","17.64","42.17","11","15.34","41.78","0.94","0","100.00","8.56","100.00","9.89","11.09","47.12","4.93","7.12","40.93","0","0","-","0.00","100.00","21.39","21.57","49.79","15.43","9.57","61.70","0.95","0","100.00","6.13","100.00","5.65","100.00","1.056","1796"
"2021-04-28 - Avalanche 2, Golden Knights 5","Vegas Golden Knights","Limited ReportFull Report","42.9","36.47","42.88","45.96","28.89","34","45.94","20.75","25.19","45.16","2.92","2.03","59.05","2.52","2.46","50.57","22.02","27.89","44.12","10.84","10.17","51.59","8.06","8.08","49.92","0.94","1.01","48.24","11.69","87.51","11.25","17.43","39.21","4.99","7.99","38.42","1.88","0","100.00","37.79","100.00","10.58","12.3","46.24","6.5","8.23","44.13","0","0.93","0.00","0.00","88.68","14.08","91.96","1.060","3950"
