Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-09,Ottawa Senators,Kings,Senators,1.091,9.8,19.27,33.7,2.02,0.94,68.11,3.97,4.05,49.51
2013-10-10,Colorado Avalanche,Bruins,Avalanche,1.0,23.86,25.4,48.44,0.0,0.0,0,9.9,7.17,58.0
2013-10-10,Columbus Blue Jackets,Sabres,Blue Jackets,1.108,24.45,16.65,59.5,4.24,0.92,82.10,6.51,7.04,48.05
2013-10-10,Montreal Canadiens,Oilers,Canadiens,1.098,29.11,21.12,57.95,2.13,0.0,100.00,11.91,5.35,69.02
2013-10-10,Arizona Coyotes,Red Wings,Coyotes,1.008,25.4,16.84,60.13,3.12,1.87,62.59,7.38,5.45,57.52
2013-10-10,Carolina Hurricanes,Capitals,Hurricanes,0.991,25.35,18.22,58.18,2.07,1.89,52.29,7.44,4.75,61.04
2013-10-10,Winnipeg Jets,Wild,Jets,0.922,6.08,20.57,22.81,0.0,1.89,0.00,2.07,8.73,19.16
2013-10-10,Toronto Maple Leafs,Predators,Maple Leafs,1.095,16.28,14.34,53.16,2.13,0.0,100.00,5.43,2.69,66.9
2013-10-10,Florida Panthers,Lightning,Panthers,0.875,9.82,21.33,31.53,1.0,3.91,20.42,2.03,6.96,22.6
2013-10-10,New York Rangers,Ducks,Rangers,0.787,20.75,20.84,49.9,0.0,5.91,0.00,11.62,8.04,59.11
2013-10-10,San Jose Sharks,Canucks,Sharks,1.054,24.32,10.7,69.46,3.21,0.95,77.14,9.95,2.67,78.83
2013-10-11,Arizona Coyotes,Flyers,Coyotes,0.997,25.08,18.96,56.94,1.06,0.92,53.35,4.47,8.05,35.7
2013-10-11,New Jersey Devils,Flames,Devils,1.065,14.79,14.22,50.99,2.11,0.94,69.13,6.44,5.56,53.69
2013-10-11,New York Islanders,Blackhawks,Islanders,1.012,15.0,26.58,36.07,2.03,2.88,41.33,7.13,14.49,32.98
2013-10-11,Los Angeles Kings,Hurricanes,Kings,1.0,18.87,15.23,55.35,0.0,0.0,0,9.59,8.41,53.26
