"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2013-10-01 - Capitals 4, Blackhawks 6","Chicago Blackhawks","Limited ReportFull Report","45.65","42.57","32.83","56.46","30.41","20.54","59.69","25.4","15.57","62.00","3.75","1.01","78.78","1.43","1.06","57.32","19.59","14.98","56.65","7.8","2.01","79.55","6.88","1.98","77.62","1.86","0","100.00","27.04","100.00","11.9","12.75","48.28","4.96","5.01","49.74","0.95","1.06","47.26","19.10","78.90","17.49","17.27","50.32","11.58","8.49","57.70","0.95","0","100.00","8.17","100.00","14.78","93.50","1.083","22158"
"2013-10-01 - Jets 5, Oilers 4","Edmonton Oilers","Limited ReportFull Report","44.116666666667","47.36","38.15","55.38","29.54","30.58","49.14","22.64","20.76","52.16","1.89","4.14","31.32","1.42","2.66","34.79","21.2","24.27","46.62","5.73","13.41","29.95","2.9","9.17","24.03","0.94","1.06","47.08","32.46","88.46","15.59","10.76","59.17","8.78","9.02","49.32","0.95","3.13","23.23","10.80","65.27","21.89","11.62","65.32","11.04","3.04","78.39","0","0","-","0.00","100.00","8.34","80.07","0.884","16839"
"2013-10-01 - Maple Leafs 4, Canadiens 3","Montreal Canadiens","Limited ReportFull Report","39.166666666667","53.59","40.58","56.91","42.18","27.04","60.94","27.98","19.7","58.69","1.89","2.09","47.58","2.28","1.47","60.82","20.78","16.79","55.32","12.48","4.32","74.31","9.58","3.3","74.38","1.87","1.08","63.35","19.53","67.20","8.11","12.41","39.52","3.71","8.19","31.14","0","1.06","0.00","0.00","87.09","28.19","16.65","62.86","14.75","8.29","64.02","0","0","-","0.00","100.00","6.77","89.40","0.962","21273"
"2013-10-02 - Ducks 1, Avalanche 6","Colorado Avalanche","Limited ReportFull Report","47.85","42.54","46.4","47.83","33.59","36.66","47.81","22.81","28.16","44.75","2.94","1","74.51","1.43","1.62","46.95","16.61","19.64","45.82","5.1","7.96","39.02","5.16","6.9","42.79","1.96","1.02","65.67","37.86","85.19","11.79","11.55","50.51","3.06","3.82","44.45","0.95","0","100.00","31.00","100.00","19.04","21.62","46.82","12.59","15.11","45.47","0","0","-","0.00","100.00","12.87","96.43","1.093","18007"
"2013-10-02 - Maple Leafs 3, Flyers 1","Philadelphia Flyers","Limited ReportFull Report","43.716666666667","42.55","33.55","55.91","27.87","26.43","51.32","16.39","21.28","43.51","0","2.07","0.00","1.43","1.17","54.82","19.18","14.58","56.80","7.32","5.14","58.76","5.56","5.08","52.23","0","2.07","0.00","0.00","59.29","11.91","9.45","55.77","3.94","3.1","55.92","0","0","-","0.00","100.00","20.26","13.97","59.19","6.73","9.78","40.77","0","0","-","0.00","100.00","0.00","90.28","0.903","19872"
"2013-10-02 - Sabres 1, Red Wings 2","Detroit Red Wings","Limited ReportFull Report","41.233333333333","45.51","18.49","71.11","37.57","13.15","74.07","28.14","10.37","73.08","1.93","1.01","65.57","1.36","0.61","68.92","19.22","8.71","68.81","4.89","2.98","62.13","4.01","2.94","57.67","0.94","1.04","47.62","23.50","64.78","14.68","5.55","72.57","10.12","2.92","77.58","0.94","0","100.00","9.31","100.00","23.5","6.56","78.17","12.98","3.62","78.21","0","0","-","0.00","100.00","6.87","90.22","0.971","20066"
"2013-10-03 - Canucks 1, Sharks 4","San Jose Sharks","Limited ReportFull Report","38.5","43.38","46.73","48.14","30.67","35.39","46.43","21.15","17.45","54.78","3.84","0","100.00","2.22","1.59","58.26","17.92","17.18","51.06","10.32","8.55","54.69","7.52","4.27","63.76","0.96","0","100.00","12.83","100.00","7.42","8.78","45.80","2.85","4.2","40.46","0.94","0","100.00","33.00","100.00","21.79","23.45","48.17","10.68","8.8","54.81","1.84","0","100.00","17.19","100.00","18.17","100.00","1.182","17562"
"2013-10-03 - Devils 0, Penguins 3","Pittsburgh Penguins","Limited ReportFull Report","55.416666666667","36.76","50.07","42.34","26.76","31.92","45.61","21.73","24.47","47.03","2.92","0","100.00","1.39","1.99","41.20","21.35","29.28","42.18","3.95","9.85","28.65","2.98","6.77","30.57","1.93","0","100.00","64.80","100.00","17.9","18.98","48.53","11.12","10.76","50.83","0.98","0","100.00","8.79","100.00","12.48","17.4","41.77","7.46","6.34","54.05","0","0","-","0.00","100.00","13.43","100.00","1.134","18621"
"2013-10-03 - Flames 4, Capitals 5","Washington Capitals","Limited ReportFull Report","46.483333333333","48.11","47.36","50.39","35.46","35.9","49.69","25.08","29.22","46.19","1.87","2.11","47.02","1.83","2.8","39.53","30.13","28.49","51.40","6.1","15.54","28.20","5.22","11","32.19","0.91","1.07","45.88","17.38","90.27","23.66","13.21","64.17","11.03","5.35","67.35","1.03","1.05","49.42","9.32","80.32","17.53","17.62","49.87","8.83","11.91","42.58","0","0","-","0.00","100.00","7.45","92.80","1.002","18506"
"2013-10-03 - Kings 3, Wild 2","Minnesota Wild","Limited ReportFull Report","45.05","30.43","33.78","47.39","21.26","17.57","54.75","19.29","10.74","64.23","0.94","1.01","48.26","1.14","0.69","62.08","14.64","11.95","55.08","5.8","4.01","59.10","4.86","3.97","55.05","0.94","1.01","48.24","19.39","74.52","8.92","7.81","53.32","3.94","2.01","66.25","0","0","-","0.00","100.00","13.58","15.23","47.14","10.68","4.8","69.00","0","0","-","0.00","100.00","4.89","90.58","0.955","18511"
